z,d,rad,n
ring,2019-09-10,0.8255101569329724,896
campus,2019-09-11,,0
ring,2019-09-11,0.2213105943315457,468
campus,2019-09-12,0.14077495515298702,12
ring,2019-09-12,0.3485573612833054,1431
campus,2019-09-13,0.660921765861688,12
ring,2019-09-13,0.17791444168706533,1416
campus,2019-09-14,0.08899977338099666,10
ring,2019-09-14,0.13645420035156944,1386
campus,2019-09-15,0.30254700764219095,12
ring,2019-09-15,0.17810650410788767,1424
campus,2019-09-16,0.19734610587485996,12
ring,2019-09-16,0.3296004013176653,1416
campus,2019-09-17,0.12793351089883717,11
ring,2019-09-17,0.3579901948393175,1419
campus,2019-09-18,0.45452296051581165,12
ring,2019-09-18,0.4401941202371621,1403
campus,2019-09-19,0.4969321456078716,12
ring,2019-09-19,0.32599756612448294,1423
campus,2019-09-20,,0
ring,2019-09-20,,0
campus,2019-09-21,0.6376756383462355,11
ring,2019-09-21,0.35538759808084724,1416
campus,2019-09-22,,0
ring,2019-09-22,1.0760432776649556,302
campus,2019-09-23,0.7161865856711843,12
ring,2019-09-23,0.7943035835187041,1346
campus,2019-09-24,,0
ring,2019-09-24,0.732516680350666,606
campus,2019-09-25,0.8909836170742429,12
ring,2019-09-25,0.689589421577911,1424
campus,2019-09-26,0.2715377686425853,7
ring,2019-09-26,0.4657252299843054,1297
campus,2019-09-27,0.4840735563361052,11
ring,2019-09-27,0.8109045239935923,1086
campus,2019-09-28,1.2313660050082003,12
ring,2019-09-28,1.4433726453704043,1426
campus,2019-09-29,2.9698848258985966,12
ring,2019-09-29,2.1042623460432686,1444
campus,2019-09-30,1.323935203700571,12
ring,2019-09-30,0.6199745357062536,1093
campus,2019-10-01,0.5022727283103507,5
ring,2019-10-01,0.6976298787963051,1068
campus,2019-10-02,0.7663648722986391,12
ring,2019-10-02,0.7745938070456561,1389
campus,2019-10-03,2.68196900633309,12
ring,2019-10-03,1.6465757671187735,1356
campus,2019-10-04,,0
ring,2019-10-04,,0
campus,2019-10-05,0.5072288212413611,12
ring,2019-10-05,0.8189064047806213,1405
campus,2019-10-06,0.9128344695845898,12
ring,2019-10-06,0.8076853666715124,1430
campus,2019-10-07,0.507710149289747,12
ring,2019-10-07,0.6526321409295168,1425
campus,2019-10-08,,0
ring,2019-10-08,,0
campus,2019-10-09,0.45431604355952554,12
ring,2019-10-09,0.5660257179859297,1339
campus,2019-10-10,0.41673827263047775,12
ring,2019-10-10,0.46428166421814776,1419
campus,2019-10-11,,0
ring,2019-10-11,,0
campus,2019-10-12,0.19777388697327,12
ring,2019-10-12,0.2794877797567031,1406
campus,2019-10-13,,0
ring,2019-10-13,0.3538490466414095,7
campus,2019-10-14,,0
ring,2019-10-14,,0
campus,2019-10-15,,0
ring,2019-10-15,,0
campus,2019-10-16,,0
ring,2019-10-16,,0
campus,2019-10-17,0.27282062023799003,11
ring,2019-10-17,0.1536493502952671,1427
campus,2019-10-18,,0
ring,2019-10-18,,0
campus,2019-10-19,0.5481576049078679,12
ring,2019-10-19,0.3544357638515285,1422
campus,2019-10-20,,0
ring,2019-10-20,0.8142772648037038,362
campus,2019-10-21,,0
ring,2019-10-21,0.7402239063716118,126
campus,2019-10-22,0.7449991610002972,11
ring,2019-10-22,0.7954699741349098,1414
campus,2019-10-23,0.9183657499345371,12
ring,2019-10-23,0.8889579997631956,1413
campus,2019-10-24,1.098852122159597,12
ring,2019-10-24,1.054164540636689,1444
campus,2019-10-25,,0
ring,2019-10-25,,0
campus,2019-10-26,,0
ring,2019-10-26,,0
campus,2019-10-27,,0
ring,2019-10-27,,0
campus,2019-10-28,,0
ring,2019-10-28,,0
campus,2019-10-29,1.31001283772844,12
ring,2019-10-29,0.7716301787683406,1427
campus,2019-10-30,,0
ring,2019-10-30,0.9280393106161813,418
campus,2019-10-31,,0
ring,2019-10-31,,0
campus,2019-11-01,0.9082637856162008,12
ring,2019-11-01,0.8190201563465539,1444
campus,2019-11-02,0.8926860884744294,12
ring,2019-11-02,0.773742580996524,1445
campus,2019-11-03,0.9214713628587161,12
ring,2019-11-03,0.6652346430158682,1445
campus,2019-11-04,,0
ring,2019-11-04,,0
campus,2019-11-05,,0
ring,2019-11-05,,0
campus,2019-11-06,1.071018814059603,12
ring,2019-11-06,0.8103272022855819,1445
campus,2019-11-07,,0
ring,2019-11-07,0.4503839748183235,63
campus,2019-11-08,,0
ring,2019-11-08,,0
campus,2019-11-09,0.4655611458940621,10
ring,2019-11-09,0.5244509800751744,1417
campus,2019-11-10,0.6592710693590611,12
ring,2019-11-10,0.5236368337613589,1402
campus,2019-11-11,,0
ring,2019-11-11,,0
campus,2019-11-12,,0
ring,2019-11-12,,0
campus,2019-11-13,0.22002875135256278,12
ring,2019-11-13,0.1607851110439433,1427
campus,2019-11-14,,0
ring,2019-11-14,,0
campus,2019-11-15,0.0469824234644572,3
ring,2019-11-15,0.44881364180187905,1028
campus,2019-11-16,0.558869436439654,12
ring,2019-11-16,0.4355562186523685,1414
campus,2019-11-17,0.22415643302512533,10
ring,2019-11-17,0.381085221804234,1057
campus,2019-11-18,0.38389438653635766,12
ring,2019-11-18,0.4482749177491293,1429
campus,2019-11-19,0.6268782557427197,10
ring,2019-11-19,0.6236924856296431,1415
campus,2019-11-20,0.6421941814217789,10
ring,2019-11-20,0.595013440634415,1396
campus,2019-11-21,1.1279490687042832,3
ring,2019-11-21,0.9832842762450171,429
campus,2019-11-22,,0
ring,2019-11-22,,0
campus,2019-11-23,,0
ring,2019-11-23,0.43517276644706726,1
campus,2019-11-24,1.4444055287725361,12
ring,2019-11-24,0.592842596547045,1445
campus,2019-11-25,,0
ring,2019-11-25,0.5488775500812721,348
campus,2019-11-26,,0
ring,2019-11-26,,0
campus,2019-11-27,,0
ring,2019-11-27,0.9835598897926459,428
campus,2019-11-28,,0
ring,2019-11-28,0.9130169804640668,226
campus,2019-11-29,,0
ring,2019-11-29,0.30970299107779303,534
campus,2019-11-30,,0
ring,2019-11-30,,0
campus,2019-12-01,1.5261472333136787,12
ring,2019-12-01,1.2639385465116457,1445
campus,2019-12-02,0.9581511962209742,12
ring,2019-12-02,0.7573867434226884,1445
campus,2019-12-03,0.849454115494997,12
ring,2019-12-03,0.826859604789851,1412
campus,2019-12-04,0.3313277519361371,12
ring,2019-12-04,0.4707267466636174,1445
campus,2019-12-05,,0
ring,2019-12-05,,0
campus,2019-12-06,,0
ring,2019-12-06,1.0438913803982144,443
campus,2019-12-07,0.7427761829001405,12
ring,2019-12-07,0.6467563097046154,1133
campus,2019-12-08,,0
ring,2019-12-08,,0
campus,2019-12-09,,0
ring,2019-12-09,,0
campus,2019-12-10,,0
ring,2019-12-10,,0
campus,2019-12-11,0.28312597226859154,12
ring,2019-12-11,0.1650961753707684,1091
campus,2019-12-12,0.13886218435861233,12
ring,2019-12-12,0.1687876783692415,1417
campus,2019-12-13,,0
ring,2019-12-13,,0
campus,2019-12-14,,0
ring,2019-12-14,0.039696767730277464,92
campus,2019-12-15,0.32106069017905514,12
ring,2019-12-15,0.10676160046716332,1434
campus,2019-12-16,,0
ring,2019-12-16,1.2897015541769574,21
campus,2019-12-17,,0
ring,2019-12-17,,0
campus,2019-12-18,0.9008508463341677,8
ring,2019-12-18,0.8387279109575588,1313
campus,2019-12-19,0.5332022091282195,11
ring,2019-12-19,0.7325391675491282,1391
campus,2019-12-20,0.7222938681704343,12
ring,2019-12-20,0.5531018157204213,1204
campus,2019-12-21,,0
ring,2019-12-21,,0
campus,2019-12-22,,0
ring,2019-12-22,0.5768742958804807,151
campus,2019-12-23,,0
ring,2019-12-23,0.6370782722271454,127
campus,2019-12-24,,0
ring,2019-12-24,,0
campus,2019-12-25,0.7938711298108492,12
ring,2019-12-25,0.4791491382294815,1444
campus,2019-12-26,,0
ring,2019-12-26,0.4772096979529115,1029
campus,2019-12-27,,0
ring,2019-12-27,,0
campus,2019-12-28,0.8227871030754185,2
ring,2019-12-28,0.8714124421813196,174
campus,2019-12-29,,0
ring,2019-12-29,,0
campus,2019-12-30,0.5710671351605766,12
ring,2019-12-30,0.5980027421091088,1445
campus,2020-01-01,1.3876148923358451,12
ring,2020-01-01,0.6546075015383485,1214
campus,2020-01-02,,0
ring,2020-01-02,,0
campus,2020-01-03,,0
ring,2020-01-03,,0
campus,2020-01-04,0.630591304836656,12
ring,2020-01-04,0.6425105465950924,1445
campus,2020-01-05,0.4084316464416913,12
ring,2020-01-05,0.47268765951062724,1445
campus,2020-01-06,0.4805724413610547,12
ring,2020-01-06,0.3137258306956381,1434
campus,2020-01-07,0.21114072509335596,12
ring,2020-01-07,0.28611687447418294,1425
campus,2020-01-08,0.8184683984145522,9
ring,2020-01-08,0.3440441306881022,1401
campus,2020-01-09,,0
ring,2020-01-09,,0
campus,2020-01-10,,0
ring,2020-01-10,,0
campus,2020-01-11,,0
ring,2020-01-11,,0
campus,2020-01-12,,0
ring,2020-01-12,,0
campus,2020-01-13,,0
ring,2020-01-13,,0
campus,2020-01-14,,0
ring,2020-01-14,8.795915985107422,5
campus,2020-01-15,4.622779369354248,1
ring,2020-01-15,3.9043923995061154,14
campus,2020-01-16,1.2407963584069495,5
ring,2020-01-16,0.7270840738338646,91
campus,2020-01-17,0.9537122845649719,1
ring,2020-01-17,0.8203575415848785,354
campus,2020-01-18,,0
ring,2020-01-18,0.5998433594705154,40
campus,2020-01-19,,0
ring,2020-01-19,0.6088360865541227,366
campus,2020-01-20,,0
