lat,lon,n_px,area_km2,early,late,diff,sum_diff,tile
37.2862,118.7307,21,5.25,6.1,62.6,56.5,1187.0,36.0_118.0
24.5738,118.2041,29,7.25,13.0,53.9,40.9,1186.0,24.0_118.0
34.9592,117.2404,24,6.0,6.6,56.0,49.4,1185.0,34.0_116.0
40.4464,118.5539,23,5.75,6.8,58.3,51.5,1184.0,40.0_118.0
36.9693,117.0542,54,13.5,2.3,24.0,21.7,1172.0,36.0_116.0
29.7359,106.7769,25,6.25,6.4,52.5,46.1,1152.0,28.0_106.0
36.8745,117.2475,42,10.5,5.7,33.1,27.3,1149.0,36.0_116.0
34.8721,113.5407,50,12.5,5.0,27.9,23.0,1148.0,34.0_112.0
36.974,122.5263,25,6.25,8.4,54.1,45.7,1143.0,36.0_122.0
40.0944,111.2669,14,3.5,8.1,88.8,80.7,1129.0,40.0_110.0
32.1556,121.4866,34,8.5,4.3,37.5,33.1,1126.0,32.0_120.0
38.0395,110.2647,7,1.75,0.4,160.5,160.0,1120.0,38.0_110.0
31.4699,118.2932,16,4.0,7.1,76.8,69.6,1114.0,30.0_118.0
41.8454,114.5944,43,10.75,3.7,29.4,25.7,1105.0,40.0_114.0
39.4774,106.6903,14,3.5,24.9,103.7,78.8,1104.0,38.0_106.0
38.0203,117.9203,37,9.25,4.5,34.2,29.7,1098.0,38.0_116.0
39.5568,116.4569,43,10.75,7.4,32.9,25.5,1097.0,38.0_116.0
31.0389,107.693,46,11.5,1.2,24.6,23.4,1076.0,30.0_106.0
27.4047,104.8671,20,5.0,15.1,68.6,53.6,1071.0,26.0_104.0
37.9809,114.5711,38,9.5,9.2,37.3,28.1,1068.0,36.0_114.0
34.4438,115.0672,32,8.0,9.8,43.1,33.3,1066.0,34.0_114.0
25.0907,102.9417,6,1.5,20.2,194.9,174.6,1048.0,24.0_102.0
28.7564,104.8459,29,7.25,5.2,40.9,35.7,1037.0,28.0_104.0
36.2873,115.1369,54,13.5,5.1,24.1,19.0,1026.0,36.0_114.0
29.185,119.8062,40,10.0,4.8,30.4,25.6,1023.0,28.0_118.0
31.1245,104.3234,37,9.25,5.8,33.1,27.3,1008.0,30.0_104.0
40.6597,109.9783,28,7.0,8.1,43.7,35.6,997.0,40.0_108.0
37.3604,106.6008,8,2.0,37.8,161.9,124.1,992.0,36.0_106.0
28.6239,116.035,34,8.5,5.6,34.7,29.1,989.0,28.0_116.0
39.0309,111.089,36,9.0,6.0,33.2,27.2,980.0,38.0_110.0
30.1837,120.9001,41,10.25,3.1,27.0,23.9,980.0,30.0_120.0
31.485,121.3889,17,4.25,12.4,69.9,57.4,977.0,30.0_120.0
32.4272,121.3616,18,4.5,2.3,56.5,54.2,975.0,32.0_120.0
31.3076,117.9829,33,8.25,5.2,34.7,29.5,974.0,30.0_116.0
30.4742,105.5358,41,10.25,4.2,27.9,23.7,973.0,30.0_104.0
31.7782,116.7335,42,10.5,3.8,26.9,23.1,970.0,30.0_116.0
28.8702,105.5889,14,3.5,4.6,73.6,69.0,966.0,28.0_104.0
30.8414,121.8305,11,2.75,27.7,114.9,87.2,959.0,30.0_120.0
29.7919,122.0244,9,2.25,31.6,137.9,106.3,957.0,28.0_122.0
25.9477,119.6696,13,3.25,15.6,87.4,71.8,933.0,24.0_118.0
35.131,118.214,43,10.75,6.7,28.3,21.6,930.0,34.0_118.0
30.5166,114.6289,28,7.0,6.6,39.7,33.0,925.0,30.0_114.0
37.7071,112.5693,21,5.25,13.0,55.7,42.8,898.0,36.0_112.0
37.7491,119.5328,12,3.0,0.4,74.7,74.4,892.0,36.0_118.0
34.7608,119.3011,38,9.5,3.0,26.3,23.3,885.0,34.0_118.0
41.7674,109.965,32,8.0,4.4,32.0,27.7,885.0,40.0_108.0
25.1618,121.3747,4,1.0,41.6,262.9,221.4,885.0,24.0_120.0
30.9953,112.2879,19,4.75,2.8,49.3,46.5,883.0,30.0_112.0
39.4195,121.2957,17,4.25,0.5,52.4,51.8,881.0,38.0_120.0
30.4721,114.4967,14,3.5,22.0,83.4,61.5,860.0,30.0_114.0
39.1444,118.4172,14,3.5,13.7,75.1,61.4,860.0,38.0_118.0
32.0407,116.9955,43,10.75,1.3,21.3,20.0,859.0,32.0_116.0
34.3459,107.3588,25,6.25,9.7,44.1,34.4,859.0,34.0_106.0
40.1101,113.3183,7,1.75,22.6,144.9,122.3,856.0,40.0_112.0
40.6626,109.7311,14,3.5,16.1,77.1,61.0,854.0,40.0_108.0
39.6359,106.7865,21,5.25,7.8,48.3,40.5,850.0,38.0_106.0
31.6854,121.8646,10,2.5,23.0,107.7,84.7,847.0,30.0_120.0
36.1088,113.2013,40,10.0,6.1,27.2,21.1,844.0,36.0_112.0
32.0096,116.979,12,3.0,8.4,77.9,69.5,834.0,32.0_116.0
42.7294,121.8039,30,7.5,3.2,30.8,27.7,831.0,42.0_120.0
24.9162,118.8124,17,4.25,7.3,55.8,48.5,825.0,24.0_118.0
