z,d,rad,n
campus,2019-07-23,36.54330827951068,14
ring,2019-07-23,0.6823165957172781,1668
campus,2019-07-24,36.37506369889455,10
ring,2019-07-24,0.9496415489826082,1655
campus,2019-07-25,,0
ring,2019-07-25,,0
campus,2019-07-26,40.707880992081854,11
ring,2019-07-26,0.9527896573400844,1669
campus,2019-07-27,37.916911594396105,12
ring,2019-07-27,0.6201813030597539,1672
campus,2019-07-28,25.846384596647017,16
ring,2019-07-28,0.7626291438453126,1677
campus,2019-07-29,43.421956077082704,17
ring,2019-07-29,0.8406780294283335,1694
campus,2019-07-30,26.371735711465877,17
ring,2019-07-30,1.3067259934191024,1674
campus,2019-07-31,36.7392401869611,17
ring,2019-07-31,0.748570596834524,1694
campus,2019-08-01,37.12578182665035,17
ring,2019-08-01,0.7806068074141848,1693
campus,2019-08-02,41.10817567702663,17
ring,2019-08-02,0.7559605905095533,1694
campus,2019-08-03,36.46061663033055,17
ring,2019-08-03,0.8013646530073503,1694
campus,2019-08-04,44.096829262181416,17
ring,2019-08-04,1.0456726945587638,1694
campus,2019-08-05,35.658198392361676,17
ring,2019-08-05,0.8136016600625521,1694
campus,2019-08-06,30.417318541510458,17
ring,2019-08-06,0.7924218037619906,1670
campus,2019-08-07,39.4495887785141,17
ring,2019-08-07,0.692593154897859,1691
campus,2019-08-08,,0
ring,2019-08-08,,0
campus,2019-08-09,31.133046782676292,17
ring,2019-08-09,1.0045713363014233,1661
campus,2019-08-10,22.289787183459588,17
ring,2019-08-10,1.1948838290125943,1680
campus,2019-08-11,,0
ring,2019-08-11,0.2989711805446972,16
campus,2019-08-12,30.318978172210894,17
ring,2019-08-12,0.889691779784329,1694
campus,2019-08-13,29.22401537585991,14
ring,2019-08-13,0.5444248242154688,1687
campus,2019-08-14,34.73398833714128,13
ring,2019-08-14,0.5539546867092188,1681
campus,2019-08-15,33.771484264961,11
ring,2019-08-15,0.48535806605793647,1676
campus,2019-08-16,34.125712722049,11
ring,2019-08-16,0.48042990155611776,1683
campus,2019-08-17,39.31215201338157,12
ring,2019-08-17,0.4115716268744455,1685
campus,2019-08-18,45.275340331025234,13
ring,2019-08-18,0.49050028266651574,1682
campus,2019-08-19,41.97623808474838,11
ring,2019-08-19,0.4334936982948715,1680
campus,2019-08-20,38.00296680284195,12
ring,2019-08-20,0.6399826549203769,1680
campus,2019-08-21,44.78098080549186,10
ring,2019-08-21,0.5801674227862579,1683
campus,2019-08-22,14.3909577796028,15
ring,2019-08-22,1.1190546783259374,1462
campus,2019-08-23,37.10963288027346,11
ring,2019-08-23,0.5181546922850605,1668
campus,2019-08-24,22.060284350468567,2
ring,2019-08-24,0.5733156827407968,975
campus,2019-08-25,40.52339467099073,10
ring,2019-08-25,0.8144317999731647,1667
campus,2019-08-26,35.44615078633887,12
ring,2019-08-26,0.7985323061215795,1659
campus,2019-08-27,31.459521488392316,15
ring,2019-08-27,0.6211550459243741,1677
campus,2019-08-28,37.61374635915749,17
ring,2019-08-28,0.6567844851924046,1693
campus,2019-08-29,,0
ring,2019-08-29,,0
campus,2019-08-30,43.99824106398195,17
ring,2019-08-30,0.7977935377839177,1693
campus,2019-08-31,36.63971405060773,17
ring,2019-08-31,1.0571808051183862,1687
campus,2019-09-01,42.55088417659893,17
ring,2019-09-01,0.8368205837631467,1693
campus,2019-09-02,36.99670930319888,17
ring,2019-09-02,0.740846347394472,1693
campus,2019-09-03,47.14307835039133,17
ring,2019-09-03,0.7046576104867216,1693
campus,2019-09-04,35.91319473643509,17
ring,2019-09-04,0.8331401077417941,1693
campus,2019-09-05,29.14330624107874,17
ring,2019-09-05,0.8615543438466627,1216
campus,2019-09-06,23.72408648666376,17
ring,2019-09-06,0.8480879440057811,1685
campus,2019-09-07,,0
ring,2019-09-07,0.9999486255174966,1059
campus,2019-09-08,25.656633817470905,17
ring,2019-09-08,0.751556395157912,1649
campus,2019-09-09,14.779012432241997,17
ring,2019-09-09,0.6350852959480684,1305
campus,2019-09-10,,0
ring,2019-09-10,0.08653413262130373,127
campus,2019-09-11,43.18890955503231,17
ring,2019-09-11,1.1179215966403795,1688
campus,2019-09-12,43.46549459114918,13
ring,2019-09-12,0.4980587073734842,1683
campus,2019-09-13,50.794685421430536,9
ring,2019-09-13,0.38270372507936734,1677
campus,2019-09-14,42.09200918478643,15
ring,2019-09-14,0.42894127946019467,1599
campus,2019-09-15,32.56829992261324,12
ring,2019-09-15,0.35646541842115725,1680
