z,d,rad,n
campus,2019-06-05,0.6889594931389507,11
ring,2019-06-05,4.3095058583233365,1362
campus,2019-06-06,1.0614700875978955,11
ring,2019-06-06,4.5424093115082265,1413
campus,2019-06-07,1.8336312817804745,10
ring,2019-06-07,1.3425591355843514,399
campus,2019-06-08,,0
ring,2019-06-08,,0
campus,2019-06-09,,0
ring,2019-06-09,0.7214757089342786,18
campus,2019-06-10,,0
ring,2019-06-10,,0
campus,2019-06-11,,0
ring,2019-06-11,,0
campus,2019-06-12,0.5537234822021662,11
ring,2019-06-12,3.8443072564757204,713
campus,2019-06-13,0.41974886793674193,4
ring,2019-06-13,6.8093487622685505,770
campus,2019-06-14,,0
ring,2019-06-14,,0
campus,2019-06-15,,0
ring,2019-06-15,5.054840866379378,16
campus,2019-06-16,,0
ring,2019-06-16,6.926896572113037,1
campus,2019-06-17,,0
ring,2019-06-17,,0
campus,2019-06-18,,0
ring,2019-06-18,7.486461869414948,130
campus,2019-06-19,,0
ring,2019-06-19,,0
campus,2019-06-20,,0
ring,2019-06-20,,0
campus,2019-06-21,,0
ring,2019-06-21,6.353459229244474,378
campus,2019-06-22,,0
ring,2019-06-22,1.2927987426519394,11
campus,2019-06-23,,0
ring,2019-06-23,,0
campus,2019-06-24,,0
ring,2019-06-24,,0
campus,2019-06-25,,0
ring,2019-06-25,2.5146369092604695,2
campus,2019-06-26,,0
ring,2019-06-26,,0
campus,2019-06-27,,0
ring,2019-06-27,,0
campus,2019-06-28,0.5185192469507456,7
ring,2019-06-28,1.5211869005493346,312
campus,2019-06-29,0.8138939283906645,11
ring,2019-06-29,3.3397013939460947,1312
campus,2019-06-30,0.5150983822697676,11
ring,2019-06-30,5.282648837936973,1001
campus,2019-07-01,0.5564714858406469,2
ring,2019-07-01,5.6475513085180635,337
campus,2019-07-02,,0
ring,2019-07-02,,0
campus,2019-07-03,,0
ring,2019-07-03,,0
campus,2019-07-04,,0
ring,2019-07-04,1.156453274847724,83
campus,2019-07-05,0.7764784338260818,12
ring,2019-07-05,2.76079831122763,1099
campus,2019-07-06,,0
ring,2019-07-06,,0
campus,2019-07-07,,0
ring,2019-07-07,,0
campus,2019-07-08,,0
ring,2019-07-08,,0
campus,2019-07-09,,0
ring,2019-07-09,4.108049307479054,662
campus,2019-07-10,,0
ring,2019-07-10,,0
campus,2019-07-11,,0
ring,2019-07-11,,0
campus,2019-07-12,,0
ring,2019-07-12,,0
campus,2019-07-13,,0
ring,2019-07-13,12.399153553291669,103
campus,2019-07-14,,0
ring,2019-07-14,,0
campus,2019-07-15,,0
ring,2019-07-15,,0
campus,2019-07-16,,0
ring,2019-07-16,,0
campus,2019-07-17,,0
ring,2019-07-17,,0
campus,2019-07-18,,0
ring,2019-07-18,,0
campus,2019-07-19,,0
ring,2019-07-19,,0
campus,2019-07-20,1.2138925757673051,2
ring,2019-07-20,2.1480738379804376,60
campus,2019-07-21,0.48512120698670513,12
ring,2019-07-21,4.965708346704741,884
campus,2019-07-22,,0
ring,2019-07-22,,0
campus,2019-07-23,,0
ring,2019-07-23,1.3806375270675155,19
campus,2019-07-24,,0
ring,2019-07-24,6.2958152294158936,4
campus,2019-07-25,,0
ring,2019-07-25,,0
campus,2019-07-26,0.624562254511894,12
ring,2019-07-26,4.394237341180326,1327
campus,2019-07-27,0.5004835158862451,11
ring,2019-07-27,4.1826283808273494,1313
campus,2019-07-28,,0
ring,2019-07-28,,0
campus,2019-07-29,,0
ring,2019-07-29,,0
campus,2019-07-30,,0
ring,2019-07-30,1.5189599666137563,121
campus,2019-07-31,0.8125521974787908,12
ring,2019-07-31,3.907096749538464,1405
campus,2019-08-01,0.505599378610292,11
ring,2019-08-01,3.843495623490127,1407
campus,2019-08-02,,0
ring,2019-08-02,0.8240407292183104,25
campus,2019-08-03,,0
ring,2019-08-03,,0
campus,2019-08-04,,0
ring,2019-08-04,3.5105012118816377,40
campus,2019-08-05,,0
ring,2019-08-05,,0
campus,2019-08-06,,0
ring,2019-08-06,0.5641689465310149,245
campus,2019-08-07,0.4200203169776022,12
ring,2019-08-07,2.8502870488476706,1232
campus,2019-08-08,,0
ring,2019-08-08,1.6057019732937512,45
campus,2019-08-09,1.3965510642763697,12
ring,2019-08-09,1.5141736179166205,547
campus,2019-08-10,1.0090059587372997,12
ring,2019-08-10,4.568521808962217,1406
campus,2019-08-11,0.8430430256904347,12
ring,2019-08-11,4.540406897947237,1408
campus,2019-08-12,0.5488840806013897,12
ring,2019-08-12,3.8490846937561405,1355
campus,2019-08-13,0.4252891548893701,12
ring,2019-08-13,4.049509227656376,1335
campus,2019-08-14,0.13281972930174493,12
ring,2019-08-14,3.780349762229145,1312
campus,2019-08-15,0.009999999776482582,12
ring,2019-08-15,3.558282574176889,1339
campus,2019-08-16,0.15775423183929801,12
ring,2019-08-16,3.819932146530032,1356
campus,2019-08-17,0.3535459306577223,12
ring,2019-08-17,3.931934007410389,1368
campus,2019-08-18,,0
ring,2019-08-18,,0
campus,2019-08-19,0.6005295125233385,12
ring,2019-08-19,4.074364943977238,1370
campus,2019-08-20,0.39372859367244334,12
ring,2019-08-20,5.186901312918986,1290
campus,2019-08-21,0.972260970279483,11
ring,2019-08-21,5.123665415028274,1148
campus,2019-08-22,0.5772676162393375,11
ring,2019-08-22,4.336666543887826,1352
campus,2019-08-23,0.7093243346468125,11
ring,2019-08-23,4.74830087175904,1317
campus,2019-08-24,1.0029164575805232,11
ring,2019-08-24,4.709048456655141,1314
campus,2019-08-25,1.424212712716052,10
ring,2019-08-25,6.492414046401235,1072
campus,2019-08-26,,0
ring,2019-08-26,6.429770183016822,741
campus,2019-08-27,,0
ring,2019-08-27,,0
campus,2019-08-28,,0
ring,2019-08-28,,0
campus,2019-08-29,,0
ring,2019-08-29,1.008546750644793,396
campus,2019-08-30,,0
ring,2019-08-30,,0
campus,2019-08-31,,0
ring,2019-08-31,,0
campus,2019-09-01,,0
ring,2019-09-01,,0
campus,2019-09-02,,0
ring,2019-09-02,,0
campus,2019-09-03,0.5857754625974955,11
ring,2019-09-03,4.414121485895948,1218
campus,2019-09-04,,0
ring,2019-09-04,,0
campus,2019-09-05,,0
ring,2019-09-05,1.1595732611579772,62
campus,2019-09-06,,0
ring,2019-09-06,,0
campus,2019-09-07,,0
ring,2019-09-07,,0
campus,2019-09-08,,0
ring,2019-09-08,,0
campus,2019-09-09,,0
ring,2019-09-09,3.3269928844798504,444
campus,2019-09-10,,0
ring,2019-09-10,2.35859694356602,3
campus,2019-09-11,0.5687097583263547,11
ring,2019-09-11,4.756130246624179,1350
campus,2019-09-12,0.6384429822403217,11
ring,2019-09-12,3.7721961520629135,1295
campus,2019-09-13,,0
ring,2019-09-13,17.703777167264217,50
campus,2019-09-14,,0
ring,2019-09-14,,0
campus,2019-09-15,,0
ring,2019-09-15,,0
campus,2019-09-16,,0
ring,2019-09-16,,0
campus,2019-09-17,,0
ring,2019-09-17,,0
campus,2019-09-18,,0
ring,2019-09-18,,0
campus,2019-09-19,,0
ring,2019-09-19,,0
campus,2019-09-20,0.41801590731388727,11
ring,2019-09-20,2.1753096057631764,889
campus,2019-09-21,0.9519133712402317,11
ring,2019-09-21,5.576440099160433,1213
campus,2019-09-22,1.3322094257793504,11
ring,2019-09-22,5.837917630206167,1192
campus,2019-09-23,,0
