name,d,VV,VH
cn_zhangbei_r01,2018-04-09,-7.612825346946553,-11.102834293245708
cn_zhangbei_r06,2018-04-09,-6.97208473902986,-12.682740981726354
cn_zhangbei_r07,2018-04-09,-10.966201788707513,-18.207652298815777
cn_zhangbei_r02,2018-04-09,-12.426371110913243,-21.171121320764602
cn_zhangbei_r03,2018-04-21,-12.623731308889562,-22.496157905685905
cn_zhangbei_r05,2018-04-21,-11.635504456984515,-26.733421256142208
cn_zhangbei_r01,2018-04-21,-9.950696595743178,-19.164761899843395
cn_zhangbei_r06,2018-04-21,-6.557033911611829,-14.627305945937092
cn_zhangbei_r07,2018-04-21,-9.798445040999379,-11.894513860737279
cn_zhangbei_r02,2018-04-21,-10.427687043737322,-18.569150013884567
cn_zhangbei_r03,2018-05-03,-13.688523500344454,-16.433753293358656
cn_zhangbei_r05,2018-05-03,-15.09494750735587,-27.95638904451312
cn_zhangbei_r01,2018-05-03,-11.436355677705661,-13.971120330311221
cn_zhangbei_r06,2018-05-03,-6.879684532488235,-13.169690806639077
cn_zhangbei_r07,2018-05-03,-11.235738779567102,-17.44346406420228
cn_zhangbei_r02,2018-05-03,-12.053607422422727,-19.57012720968726
cn_zhangbei_r03,2018-05-15,-12.096067557809027,-22.65904885382623
cn_zhangbei_r05,2018-05-15,-13.024239155541197,-24.185018762224864
cn_zhangbei_r01,2018-05-15,-10.58341711069097,-20.697425715476694
cn_zhangbei_r06,2018-05-15,-7.575735843035645,-15.164575588293806
cn_zhangbei_r07,2018-05-15,-11.922077136632174,-18.04864716857851
cn_zhangbei_r02,2018-05-15,-11.22347014842731,-19.753203592362947
cn_zhangbei_r03,2018-05-27,-13.826535764355652,-24.281688524357193
cn_zhangbei_r05,2018-05-27,-13.13602936621438,-24.35788589521876
cn_zhangbei_r01,2018-05-27,-11.416772417679272,-22.141652973206167
cn_zhangbei_r06,2018-05-27,-7.798136882608743,-16.0622167047176
cn_zhangbei_r07,2018-05-27,-11.926295407245515,-20.05164645768761
cn_zhangbei_r02,2018-05-27,-11.642227113895341,-19.564788935231586
cn_zhangbei_r03,2018-06-08,-13.569944550058308,-24.844105255037103
cn_zhangbei_r05,2018-06-08,-13.264388034039584,-24.704228568285963
cn_zhangbei_r01,2018-06-08,-11.311575113308395,-22.160360368511732
cn_zhangbei_r06,2018-06-08,-8.027695280378246,-15.390153583053216
cn_zhangbei_r07,2018-06-08,-11.808821375164667,-19.949272228918286
cn_zhangbei_r02,2018-06-08,-11.418166714246128,-18.91183539934874
cn_zhangbei_r03,2018-06-20,-13.195123862535027,-23.08461346115436
cn_zhangbei_r05,2018-06-20,-12.468821547132482,-23.584174024826915
cn_zhangbei_r01,2018-06-20,-11.63872327886705,-21.544793402534214
cn_zhangbei_r06,2018-06-20,-7.795742065001613,-15.239099690908773
cn_zhangbei_r07,2018-06-20,-11.428661786472166,-19.326830922376175
cn_zhangbei_r02,2018-06-20,-11.56678985001271,-18.957368229374207
cn_zhangbei_r03,2018-07-02,-12.71843528104097,-22.49523929938945
cn_zhangbei_r05,2018-07-02,-11.666106654348797,-21.89217501328954
cn_zhangbei_r01,2018-07-02,-10.545290633290955,-21.081995311120732
cn_zhangbei_r06,2018-07-02,-8.066967758498848,-16.767232562003624
cn_zhangbei_r07,2018-07-02,-10.92529857301256,-19.513363113822333
cn_zhangbei_r02,2018-07-02,-9.758860206042613,-18.10886257303616
cn_zhangbei_r03,2018-07-14,-12.10787877450138,-16.55540705489569
cn_zhangbei_r05,2018-07-14,-12.389883502284036,-20.60477319054628
cn_zhangbei_r01,2018-07-14,-10.212483302479725,-13.289799595768248
cn_zhangbei_r06,2018-07-14,-7.93117632716113,-12.181057689781781
cn_zhangbei_r07,2018-07-14,-9.89081790569564,-9.874932655319766
cn_zhangbei_r02,2018-07-14,-9.65724872837388,-12.383448965825103
cn_zhangbei_r03,2018-07-26,-12.378043614304893,-19.71413360161282
cn_zhangbei_r05,2018-07-26,-12.588437804833996,-19.4021827435675
cn_zhangbei_r01,2018-07-26,-10.611057703570019,-19.56874790328069
cn_zhangbei_r06,2018-07-26,-8.230199066378022,-17.645720585936072
cn_zhangbei_r07,2018-07-26,-10.56979282168458,-17.692485208444023
cn_zhangbei_r02,2018-07-26,-9.914071322610809,-16.935048833296534
cn_zhangbei_r03,2018-08-07,-10.189354837775728,-18.262541755099473
cn_zhangbei_r05,2018-08-07,-9.679597311917918,-16.714246193321607
cn_zhangbei_r01,2018-08-07,-8.934854499315739,-17.54687873795107
cn_zhangbei_r06,2018-08-07,-6.324298603328902,-16.336835636427843
cn_zhangbei_r07,2018-08-07,-9.920817498384759,-16.5103346528052
cn_zhangbei_r02,2018-08-07,-8.60305027678227,-15.738898852886319
cn_zhangbei_r03,2018-08-19,-13.426694803379863,-20.061943876582358
cn_zhangbei_r05,2018-08-19,-12.730246031477419,-19.608991459043434
cn_zhangbei_r01,2018-08-19,-10.967017941037168,-18.615800210278003
cn_zhangbei_r06,2018-08-19,-8.270640266947344,-16.653188055206787
cn_zhangbei_r07,2018-08-19,-9.129742852917087,-13.531377653097065
cn_zhangbei_r02,2018-08-19,-10.635364372349292,-17.371961082038233
