ym,VV:cn_ulanqab_r03,VV:cn_ulanqab_r04,VV:cn_ulanqab_r05,VV:cn_ulanqab_r06,VV:cn_ulanqab_r07,VH:cn_ulanqab_r03,VH:cn_ulanqab_r04,VH:cn_ulanqab_r05,VH:cn_ulanqab_r06,VH:cn_ulanqab_r07
2018-11,-15.661233743659464,-11.844106471317458,-14.09419458143476,-12.487804016512355,-13.215120052899834,-28.094405821975986,-19.739264422164677,-29.752327342652293,-25.74890697184001,-24.264696348933875
2018-12,-15.51595676319856,-11.628174613096903,-14.539697818386383,-18.259006425683353,-13.126779885959682,-28.495790780803667,-20.14460687370105,-31.261385821252027,-29.95842523874977,-25.14922696464059
2019-01,-15.712093472160653,-11.53805688163127,-15.571268753815195,-18.71012998513129,-13.118331816660442,-28.65648452689874,-19.340698638119676,-32.44703843956247,-30.175020000228557,-24.964481279808208
2019-02,-15.154632582452654,-12.268411077893571,-15.805187529301598,-17.746450948979646,-12.739046942872946,-29.045517706258565,-20.102679199624816,-31.668337756416378,-29.244701406338606,-24.645709741335125
2019-03,-15.162044856270715,-11.848286834298174,-15.036778221072124,-17.103246364395876,-12.70114828358299,-28.127897895138275,-19.564143026664595,-31.04646742711965,-26.37418021395911,-22.935990826403938
2019-04,-14.532417858412014,-10.980111237296654,-13.601386409955396,-15.903467671652923,-10.949625236697317,-26.033816746776516,-19.132727623901552,-27.082301725527095,-25.06642116451564,-21.746347790647903
2019-05,-14.833130178367739,-11.702895111468788,-13.608748316480487,-16.54942910860968,-11.828925514471138,-26.535132757028602,-19.07925084274748,-26.54417355447923,-24.381508360801526,-22.299944962201344
2019-06,-13.955825935219607,-11.302846699260234,-11.526545119636989,-16.069794355719964,-11.49932055986685,-23.70791871664086,-18.95160582023913,-24.422063679751794,-23.577869022450976,-20.966746919777073
2019-07,-13.54061023794701,-10.99285514572872,-10.592539909450599,-15.189897939927675,-10.720147850807043,-22.03271439818552,-18.293225952707107,-18.819141371257114,-23.174383084478617,-20.12147101852402
2019-08,-13.490457119356623,-10.935205330168468,-9.709307440923018,-15.313352986579526,-10.821427024780586,-21.134198658494235,-17.642614340416273,-16.260349857387347,-23.769730971924712,-18.278406422316788
2019-09,-11.79239661945235,-9.586716746089255,-8.243938326169921,-12.705966208518346,-9.85766295238825,-19.03694741797469,-16.867008115197624,-15.910560244964199,-20.117224815652776,-17.342089651496188
