ym,VV:cn_horinger_r02,VV:cn_horinger_r03,VV:cn_horinger_r04,VV:cn_horinger_r05,VV:cn_horinger_r06,VV:cn_horinger_r08,VV:cn_horinger_r11,VV:cn_horinger_r12,VV:cn_horinger_r13,VV:cn_horinger_r14,VV:cn_horinger_r15,VV:cn_horinger_r16,VV:cn_horinger_r17,VV:cn_horinger_r18,VV:cn_horinger_r19,VV:cn_horinger_r20,VV:cn_horinger_r21,VV:cn_horinger_r22,VV:cn_horinger_r23,VV:cn_horinger_r24,VV:cn_horinger_r25,VV:cn_horinger_r26,VV:cn_horinger_r27,VH:cn_horinger_r02,VH:cn_horinger_r03,VH:cn_horinger_r04,VH:cn_horinger_r05,VH:cn_horinger_r06,VH:cn_horinger_r08,VH:cn_horinger_r11,VH:cn_horinger_r12,VH:cn_horinger_r13,VH:cn_horinger_r14,VH:cn_horinger_r15,VH:cn_horinger_r16,VH:cn_horinger_r17,VH:cn_horinger_r18,VH:cn_horinger_r19,VH:cn_horinger_r20,VH:cn_horinger_r21,VH:cn_horinger_r22,VH:cn_horinger_r23,VH:cn_horinger_r24,VH:cn_horinger_r25,VH:cn_horinger_r26,VH:cn_horinger_r27
2020-04,-16.301581145208388,-17.19669953902983,-15.743408471592144,-18.126383992306483,-16.13624553398501,-15.549123363283897,-13.283081825694511,-15.67758847385004,-11.837624201222223,-15.59304403461659,-13.202661060975487,-15.096183278392617,-15.48643251176978,-15.474101145115075,-16.767023645613627,-15.304199455343994,-12.696880504397356,-15.181299286854788,-16.464523998191098,-17.03931291877994,-13.157473342510796,-15.102541691062616,-16.860075695673977,-26.115985399867956,-27.330961885227673,-25.17822890997383,-27.006904265333525,-25.12087099049959,-25.034901126984185,-21.837822843227215,-26.22298197995296,-20.347365971417055,-25.749760831792866,-23.627627518478295,-21.4702652973563,-26.068819247498183,-25.94626301636582,-26.82623066995626,-24.850125708607862,-22.83486328038302,-24.73199290319608,-24.592439625071705,-26.29927064600942,-21.018801695863132,-23.76563624058304,-25.67538387460915
2020-05,-15.51174991095654,-16.221596614582374,-15.328648435899908,-16.44020482851481,-15.387414086562664,-15.070703740930327,-12.925294873813183,-15.571321304696855,-11.786738982244628,-13.679337824125831,-13.237937044416903,-13.612934010188091,-14.881120762236538,-15.21632676796003,-16.392586635104415,-14.779931693766002,-12.279125004004673,-13.347751265515175,-15.40755433377374,-15.812932371658016,-11.536483080301831,-14.9497407021469,-15.237721371398765,-25.48266867030341,-26.08699606103792,-24.20243527945713,-26.175724424886567,-23.913654617463752,-23.87124162679136,-21.220516565376712,-25.389370814208103,-19.615461390866713,-24.80252203386076,-22.96086887261241,-20.48339203237841,-24.511578529396417,-24.085240105946625,-26.166510020497018,-23.53843786089654,-22.15814486125358,-24.07067771142987,-23.474395350834623,-25.569716803449026,-19.440611680558167,-22.97987730951845,-24.759857755184786
2020-07,-10.817035539344117,-10.291221764835544,-10.579306328964286,-10.959585493331948,-9.240702290170704,-10.968117199398524,-9.601928201836085,-11.096736468932711,-8.566213515063962,-8.754165484601229,-9.965789018765697,-10.173382924204056,-10.073870134587295,-12.068471346984666,-8.559216287023965,-11.441767047765344,-9.50890340843359,-9.177787419391121,-10.57481624099963,-9.96288377974348,-11.010030443417243,-12.645810821180191,-9.97100382965371,-18.069881534734268,-16.088943442816962,-16.9057512538561,-17.33451983686966,-16.921518258247403,-19.651348877684242,-17.976550852835484,-18.816787790341635,-16.037622020152554,-18.413701716514183,-17.931842094757545,-16.9021033479973,-17.13825152023747,-19.115650330931548,-18.976175004275667,-17.17194140527355,-17.1996274067954,-18.202387313781845,-17.256703635514153,-15.557180806138634,-18.614640101451446,-20.303651902572085,-18.628859127744754
2020-08,-11.174580966485934,-10.658456663972945,-11.46681538673519,-11.046572573097938,-8.73109897773521,-11.956612707420522,-9.327855808539727,-11.046434072137448,-9.24247476801107,-9.24455125650639,-9.817112820899549,-10.836876035818001,-10.322826146777606,-11.386137260978737,-8.823526579836317,-11.8239239369006,-9.868380271402856,-9.780936164383602,-10.773998471729938,-10.569679920297368,-10.806855893212076,-11.328249921944417,-10.517324075857132,-17.95134362043921,-16.606892174024104,-17.731944873717474,-16.761379003052877,-15.9451974674265,-21.398233065588126,-17.184756657879785,-17.657380691177245,-16.096085560526916,-16.13477111813042,-18.12014549287436,-17.58007160138208,-17.665830243175026,-17.770429445200044,-16.875350298054453,-18.677483470873867,-16.765103968906338,-16.902551683045154,-17.22945687051724,-16.828293680766667,-18.877881473443725,-19.09710844978942,-17.634064520285587
2020-09,-12.003904698253276,-11.163439911937338,-12.15947497738431,-11.379542625853828,-9.452809370856844,-11.621529138726315,-10.186935804533032,-12.383962443187233,-9.799048825371699,-10.269937822650952,-11.2371338719751,-11.34848296738351,-11.698686722434296,-11.994045603718206,-12.447372808499992,-12.872696002161964,-10.5260795671525,-11.074648856043092,-11.56662736517847,-11.298358166661696,-11.712360020027319,-12.601507840917048,-12.051809966046854,-18.9681354840667,-17.90722395507967,-18.89886412555287,-16.96504249973915,-16.629703340856896,-20.89560047603491,-18.076302946772962,-19.289103290280433,-16.812312661804064,-17.199647830833783,-19.39806581935206,-18.497409814532563,-18.354354871899382,-18.8005253302122,-22.25000300118366,-19.83720247905135,-17.337231606287393,-18.280444931100938,-18.475611707256796,-16.83324987269115,-19.267850945208778,-20.104613445317426,-18.398472788185366
2020-10,-13.668162488658504,-13.381906009113594,-14.742722730362004,-16.613388576851502,-12.23655943985306,-13.559801040855032,-12.17281583369138,-14.302940309146498,-12.286958128503967,-12.977105877430509,-13.132106879758526,-13.487348308844679,-14.257695440704222,-15.156528420593828,-19.477447207363824,-14.498532920972112,-13.192268329428646,-13.176591355756802,-14.246616521129523,-12.21290670356499,-13.01629746960082,-14.758898897825635,-15.33373576270441,-22.95085438364003,-22.825897348647853,-23.36786540414219,-24.993789076052764,-20.777889771474722,-23.41042350306961,-21.507444007909793,-24.30712754265608,-19.60853541061279,-24.815389572485206,-23.27123448474549,-20.331819671448,-23.604781298305756,-23.836205040398877,-26.961167390761794,-24.132488137900943,-22.591929772030923,-24.386983421340915,-22.388770220916154,-19.3578164939695,-20.644183183583355,-23.95839753547974,-23.378989102292955
2020-11,-13.54587447132816,-13.41625630479401,-15.446529451037588,-17.91518923484171,-13.110688955253728,-14.435506962391766,-12.952076749410182,-17.29066422829704,-13.02369104095216,-13.911745545564354,-13.047876934704174,-15.491055243077907,-14.465354525121011,-15.426870702308324,-17.18937290099825,-14.810873263892866,-14.034826136314452,-13.650811584817362,-15.385118798056165,-14.67146571977609,-13.727411124195026,-15.118898219394072,-16.543959536994798,-24.356654034812117,-23.38071216601682,-25.502575064307255,-26.949045512414184,-22.424008414038127,-24.38201375422723,-22.937796571612907,-26.961626772489893,-21.409715294986974,-26.24071440948597,-23.730708587140505,-22.935884785614675,-26.093587864609535,-25.99174301135086,-26.553321304813373,-25.516022656485895,-24.103601625902343,-25.33204830885672,-24.660612962081917,-24.994433768037318,-22.288761657695552,-24.336097138143217,-26.413636415502793
2020-12,-14.17421876591132,-14.345379468554881,-16.182969253593136,-18.715323193503963,-14.100088680543438,-15.919861716931047,-14.0851662343793,-18.52394059035426,-13.974314132206068,-15.129283868235586,-13.752989774650812,-16.90926093916894,-15.528999327612919,-16.51370041612386,-18.50152425522637,-15.261818410820236,-14.85135173254379,-15.134625466845273,-16.705902004613318,-14.469471381113811,-14.167792604155098,-15.516352275792194,-17.830557158764528,-24.912513199078717,-24.52622592960383,-26.304506171059245,-27.190549472942426,-22.50317605594601,-25.563976853112557,-23.716289119845296,-27.638345796230613,-22.925020694554995,-27.087190110187077,-24.478910543289334,-25.7568449034916,-26.699795655011652,-26.513098563510383,-27.362264048236142,-26.280926779398037,-24.405460970220094,-26.16381811331895,-25.70922484332048,-24.580858396392678,-24.240899410171316,-25.31454573962313,-27.09851620233437
2021-01,-14.143950926571065,-14.667178547473352,-16.47176661662482,-18.97774019037644,-14.165657191172372,-15.927557883534625,-14.152276765245212,-18.307163757225418,-13.994141458856127,-15.158988877744097,-13.782562381839096,-17.090832978362968,-15.780965152162626,-16.465255175639175,-18.76165108335116,-15.869536936571517,-14.892093189804859,-15.381049543957158,-16.87487396643957,-14.473435752663459,-14.651524368233318,-15.999883098387839,-18.039879364072142,-24.602089806863823,-25.099928397595583,-26.345572575540977,-27.10412258482465,-22.849671226374472,-25.921827314811956,-23.735548536778715,-27.50487829693016,-22.666626119729635,-26.87875131138066,-24.07619906619469,-25.575768560615877,-27.04776553348314,-26.155356568953522,-27.308809933485378,-26.113966285185626,-24.15893057732425,-26.578973023414818,-25.681688312641853,-24.785315154986506,-23.820203325258966,-24.819000229340638,-26.943187957413766
2021-02,-14.080921454090465,-14.470917744714226,-16.475479198469813,-18.991741434779673,-14.018041281977005,-16.08882862980901,-14.229201501035076,-18.660957326120066,-13.812875628093725,-14.154574795581043,-13.874661884643743,-17.005594775941177,-15.975317217287378,-16.348305294358035,-18.66392826915077,-15.638004790700693,-14.995615341686081,-14.806349151745215,-16.703604497935693,-14.280553206397139,-14.51978675916699,-15.749921922343255,-18.358195839638665,-24.547192335083775,-24.689263822777303,-26.228107203231815,-27.13940410016434,-22.59007320683076,-25.662105184174898,-23.97784617635356,-27.41617999976642,-22.63426261495671,-26.93482577375988,-24.142013595631912,-26.028123504341952,-27.231577800113133,-26.036036885339325,-27.362842490176746,-26.31923479116684,-24.61793608423589,-26.30216503060836,-26.105463386699235,-25.044245859509804,-23.841699044349234,-24.779690300982356,-27.273170687417107
