ym,VV:block_a,VV:block_b,VV:block_c,VV:block_d,VH:block_a,VH:block_b,VH:block_c,VH:block_d
2019-11,-9.8979251506877,-10.695663617099447,-8.895313366607711,-12.529156963811003,-17.6008851334983,-20.364435206477264,-17.8277525158312,-22.373627728415897
2019-12,-10.522603109625827,-11.517179604646891,-9.58228540486191,-14.550872762772414,-19.977238213875808,-21.424690365008345,-17.90765031616717,-25.057789475152624
2020-01,-10.625893691430294,-11.567166484563154,-9.796813595149224,-14.337926648464126,-19.878763049349192,-21.04780926489307,-17.583605677442137,-24.397735619652757
2020-02,-10.434122338165654,-11.430506260035946,-10.046758716028124,-14.097267587232082,-19.454308530158762,-20.081833263777757,-17.839814195467405,-22.979804199565866
2020-03,-10.263921501662045,-10.952310432751851,-9.293508683691845,-13.481157047921776,-17.882854740132675,-20.293728393422633,-17.83479501105855,-22.189709354505798
2020-04,-10.514949033910952,-11.261218688099795,-8.62510272790895,-12.946381746607473,-17.87203364263227,-19.914909371746344,-16.716358657694066,-21.4716629591385
2020-05,-9.986263893071623,-10.536025583207689,-8.163898276741623,-12.008380819212565,-17.22346660570107,-19.107022975598476,-16.138097592691576,-20.368135757596416
2020-07,-8.548551065478478,-7.974944037227449,-6.549681241134919,-9.39551158442302,-16.536815609115145,-16.74773095627589,-15.01375153841496,-17.681286330908115
2020-08,-8.53479705775904,-7.646616248501378,-6.601032212224532,-8.72637042983227,-15.966678767594852,-16.480235250176136,-14.841290582336706,-16.937562534789453
2020-09,-8.933115460898518,-8.864472398604768,-6.670521708833565,-9.57093856882518,-16.481773668522035,-17.310510475042964,-15.464178554711884,-17.762049461572673
2020-10,-10.63942859615236,-10.187970757485461,-7.938179641922561,-10.83120798465077,-17.698851476015626,-19.309165261985903,-16.171944233561085,-19.510208128143073
2020-11,-10.790295635621622,-10.886342284134068,-8.513590897970989,-11.341541261202254,-19.07143094785889,-19.63947499199892,-17.302696611928095,-20.32987952420745
2020-12,-11.751075116765888,-11.651519249667052,-9.208856349107482,-12.288652013056662,-20.41691045260651,-20.625120851903617,-17.528443352614673,-21.743097493030493
2021-01,-11.41564346229547,-11.801837583553324,-9.407032856244921,-12.427698523555144,-19.87346747892825,-20.284917579783052,-17.57174613642313,-21.591574230709718
2021-02,-11.443988963192467,-11.790040124474624,-9.197344147050062,-12.325883385168265,-19.90470147360444,-20.487086632480324,-17.59634024852771,-21.561961603973984
