name,d,VV,VH
cn_guian_r01,2019-05-16,-9.747649653347453,-17.063987626498434
cn_guian_r01,2019-05-28,-8.817995525771954,-15.831945628108645
cn_guian_r01,2019-06-09,-9.313432608117301,-16.100256566244717
cn_guian_r01,2019-06-21,-9.42481479662798,-15.665524189401253
cn_guian_r01,2019-07-03,-9.532099998444643,-16.03015381380741
cn_guian_r01,2019-07-15,-8.859922360476766,-15.455849951616976
cn_guian_r01,2019-07-27,-9.328394038960244,-15.587171016756002
cn_guian_r01,2019-08-08,-9.443976853320512,-15.675853163709265
cn_guian_r01,2019-08-20,-9.737737501019629,-15.936678407621615
cn_guian_r01,2019-09-01,-9.984106362656469,-15.95568989397711
cn_guian_r01,2019-09-13,-9.827638291253445,-15.770508157316597
cn_guian_r01,2019-09-25,-10.258241611429543,-16.492151753620366
cn_guian_r01,2019-10-07,-10.255348763705742,-16.305276192060223
cn_guian_r01,2019-10-19,-9.856377325432728,-15.952189619085235
cn_guian_r01,2019-10-31,-10.711268811947924,-16.703008778666973
cn_guian_r01,2019-11-12,-10.427521704447432,-17.052920924341755
cn_guian_r01,2019-11-24,-10.741853678529194,-17.850724301855678
cn_guian_r01,2019-12-06,-11.169333899665348,-18.226323814610787
cn_guian_r01,2019-12-18,-11.662276674414219,-19.03035071574866
cn_guian_r01,2019-12-30,-11.111186292884252,-18.146499625245887
cn_guian_r01,2020-01-11,-10.597511525567905,-18.307003836803236
cn_guian_r01,2020-01-23,-10.975951693263731,-18.555095028823352
cn_guian_r01,2020-02-04,-10.393899498278905,-17.682376303667496
cn_guian_r01,2020-02-16,-10.880882535478053,-18.06985567226114
cn_guian_r01,2020-02-28,-9.38204468135605,-16.351905948779862
cn_guian_r01,2020-03-11,-10.992756001260242,-18.33927795165424
cn_guian_r01,2020-03-23,-9.08859915475201,-16.928508412086277
cn_guian_r01,2020-04-04,-10.073341839189911,-18.107027576381267
cn_guian_r01,2020-04-16,-10.743281821903857,-18.0138667832498
cn_guian_r01,2020-04-28,-11.019894542244927,-18.337245221917172
cn_guian_r01,2020-05-10,-10.709964289873389,-18.487749109121765
cn_guian_r01,2020-05-22,-10.486981953550815,-18.028203495919072
cn_guian_r01,2020-06-03,-9.993577969868959,-17.409310437221553
cn_guian_r01,2020-06-15,-8.791443142877515,-15.878302135461492
cn_guian_r01,2020-06-27,-9.188887978879455,-15.806003082658027
cn_guian_r01,2020-07-09,-8.8949630515196,-15.394695642984125
cn_guian_r01,2020-07-21,-8.84847080458291,-15.213904571729044
cn_guian_r01,2020-08-02,-9.535286731169698,-15.88884907610786
cn_guian_r01,2020-08-14,-9.61408929940856,-16.11762245744253
cn_guian_r01,2020-08-26,-10.39166645459353,-16.56571436141991
cn_guian_r01,2020-09-07,-9.418178086262238,-15.763380836631816
cn_guian_r01,2020-09-19,-8.897823661722283,-15.083008216377623
cn_guian_r01,2020-10-01,-9.35633779846854,-15.693652095078972
cn_guian_r01,2020-10-13,-10.212233530069717,-16.631092936236517
cn_guian_r01,2020-10-25,-10.342763270308728,-16.63382519641959
cn_guian_r01,2020-11-06,-9.855068062875226,-16.389421099237566
cn_guian_r01,2020-11-18,-11.043633587344805,-17.30679111055846
cn_guian_r01,2020-11-30,-11.071076484975883,-17.67702801390912
cn_guian_r01,2020-12-12,-9.738099641856511,-16.02175104936363
cn_guian_r01,2020-12-24,-11.262728140231435,-18.488579129535573
cn_guian_r01,2021-01-05,-10.702786101579207,-17.27147384154306
cn_guian_r01,2021-01-17,-11.174001926717615,-18.447069613905104
cn_guian_r01,2021-01-29,-11.564953231423164,-18.626659773874753
cn_guian_r01,2021-02-10,-10.373492948082859,-17.173545319227365
cn_guian_r01,2021-02-22,-11.28224749676546,-17.819436143699075
cn_guian_r01,2021-03-06,-11.124961491706314,-17.94223576532704
cn_guian_r01,2021-03-18,-10.744091433586206,-17.423402118360812
cn_guian_r01,2021-03-30,-10.999918340538862,-17.98999621275013
cn_guian_r01,2021-04-11,-8.546242613993185,-15.587419649128783
cn_guian_r01,2021-04-23,-10.40906606617303,-17.94935779265193
