ym,VV:cn_qingyang_r03,VV:cn_qingyang_r07,VV:cn_qingyang_r11,VV:cn_qingyang_r12,VH:cn_qingyang_r03,VH:cn_qingyang_r07,VH:cn_qingyang_r11,VH:cn_qingyang_r12
2019-10,-8.139323795648618,-8.79529318775786,-9.82931346854124,-8.903357111708777,-16.84945094096207,-16.41262351386544,-17.68617180418546,-16.65097804955852
2019-11,-8.65913254153194,-9.418858115086696,-11.038576946731474,-9.930710916385364,-19.246191655424198,-17.198397527790103,-19.44872902399847,-18.210496555067888
2019-12,-11.843156165666613,-11.269517105891087,-13.509682160548929,-12.924229041054561,-22.892165117489718,-19.609545159161087,-23.282279871350553,-21.671499755582623
2020-01,-12.474760633351835,-11.70746945025314,-14.252761539472976,-13.700173244350148,-22.913223803252144,-19.916448341452178,-22.8202587378968,-21.66499049888353
2020-02,-11.711922992542432,-11.356824900078418,-13.481643311706641,-12.876674998756933,-21.834590069136603,-19.657931921036077,-22.380610970437232,-20.935866797768142
2020-03,-11.7084034406709,-11.433597037469227,-13.450031691409693,-12.504055290920492,-20.65229948461936,-19.46615517807212,-21.4506963541792,-19.856254303615504
2020-04,-11.204308265496492,-11.120755715821394,-13.523269592323409,-12.179574883584626,-19.066832213590164,-19.287402764707547,-21.106011528364206,-18.974962325992614
2020-05,-10.66672087007052,-10.717695243488045,-13.732731779820163,-11.571585149301441,-18.798037883890885,-18.53815594570751,-20.343851084148785,-18.792475244225848
2020-06,-8.650854706177626,-8.371547116480048,-10.090181768241028,-9.000526701237794,-16.932182174502103,-16.284207337774234,-17.718846575430955,-16.365219582315035
2020-07,-7.541148593326312,-7.568193616645241,-8.736662246349317,-7.988587811386719,-14.33428128941614,-15.216231616707457,-15.427763251721565,-14.923186925880294
2020-08,-8.646064070740099,-7.962426319262866,-8.469647660074658,-7.872556098228178,-15.231341507014898,-15.523835693789094,-15.60542157283098,-15.016044997960279
