site_id,ptype,polygon,product_id,sensor,datetime_utc,local_solar_hour,t_poly_k,t_bg_k,delta_t_k,t_poly_sd_k,t_bg_sd_k,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg,n_valid_poly_strict,scene_cloud_cover,sun_elev_deg,view_zenith_deg,day_night,qa_flags,capacity_mw,capacity_basis,capacity_tier,capacity_source,t2m_k,d2m_k,u10,v10,ta_c,td_c,rh_pct,wind_ms,q_kgkg,tw_c
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20537_009_15SYU_20220218T193526_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-18T19:35:26+00:00,13.58,289.727,288.627,1.1,0.645,1.968,12,12,1943,1943,12,0.0,39.394,28.49,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,278.9326477050781,267.4347229003906,-0.2125244140625,-1.9879302978515625,5.7826,-5.7153,43.4286,1.9993,0.0025,0.9992
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20537_009_15SYU_20220218T193526_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-02-18T19:35:26+00:00,13.58,287.543,288.627,-1.084,0.808,1.968,24,24,1943,1943,24,0.0,39.394,28.49,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,278.9326477050781,267.4347229003906,-0.2125244140625,-1.9879302978515625,5.7826,-5.7153,43.4286,1.9993,0.0025,0.9992
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20746_005_15SYU_20220304T064043_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-04T06:40:43+00:00,0.668,278.831,280.833,-2.002,0.642,1.373,11,12,1907,1943,11,2.27,-61.049,20.72,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,283.823974609375,281.35260009765625,-2.038299560546875,-1.6950645446777344,10.674,8.2026,84.6982,2.651,0.0068,9.046
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20746_005_15SYU_20220304T064043_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-04T06:40:43+00:00,0.668,278.446,280.833,-2.387,0.381,1.373,24,24,1907,1943,24,2.27,-61.049,20.72,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,283.823974609375,281.35260009765625,-2.038299560546875,-1.6950645446777344,10.674,8.2026,84.6982,2.651,0.0068,9.046
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_20781_012_15SYU_20220306T131340_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-06T13:13:40+00:00,7.217,272.047,272.392,-0.346,0.374,0.847,12,12,783,1943,12,64.78,8.926,11.41,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:strict bg_classes=10,30",,,,,291.9848327636719,290.2597198486328,1.142425537109375,4.0428009033203125,18.8348,17.1097,89.7206,4.2011,0.0122,17.5882
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_20781_012_15SYU_20220306T131340_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-06T13:13:40+00:00,7.217,272.024,272.392,-0.368,0.348,0.847,24,24,783,1943,24,64.78,8.926,11.41,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:strict bg_classes=10,30",,,,,291.9848327636719,290.2597198486328,1.142425537109375,4.0428009033203125,18.8348,17.1097,89.7206,4.2011,0.0122,17.5882
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21087_010_15SYU_20220326T051827_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-26T05:18:27+00:00,23.297,282.157,282.748,-0.591,0.486,0.961,12,12,1529,1943,12,31.01,-51.433,8.7,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,283.8794250488281,274.92816162109375,2.303558349609375,-3.147979736328125,10.7294,1.7782,53.9466,3.9008,0.0043,6.1025
colossus_memphis,hall,electrolux_hall,ECOv002_L2T_LSTE_21087_010_16SBD_20220326T051827_0712_01,ECOSTRESS_L2T_LSTE_v002,2022-03-26T05:18:27+00:00,23.297,281.361,282.747,-1.385,0.759,0.973,18,24,1519,1934,18,31.12,-51.433,8.7,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,283.8794250488281,274.92816162109375,2.303558349609375,-3.147979736328125,10.7294,1.7782,53.9466,3.9008,0.0043,6.1025
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21270_008_15SYU_20220407T003109_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-07T00:31:09+00:00,18.509,283.978,285.1,-1.122,0.156,0.877,9,12,1896,1943,9,7.34,-2.012,20.66,NIGHT,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,286.9455261230469,280.4133758544922,1.3115692138671875,1.4861984252929688,13.7955,7.2634,64.7101,1.9822,0.0063,9.9361
colossus_memphis,cooling,east_yard,ECOv002_L2T_LSTE_21316_014_15SYU_20220409T234310_0712_02,ECOSTRESS_L2T_LSTE_v002,2022-04-09T23:43:10+00:00,17.709,288.56,288.64,-0.08,1.695,0.957,12,12,1943,1943,12,0.0,8.202,27.15,DAY,"ECO_QC_mandatory>=2|cloud_mask roof:finite|cold bg_classes=10,30",,,,,287.83811950683594,277.70445251464844,0.7708740234375,1.8292150497436523,14.6881,4.5545,50.6489,1.985,0.0052,9.2045
