site_id,product_id,datetime_utc,ptype,reason,n_valid_bg,n_total_bg,polygon,n_valid_poly,n_total_poly
colossus_memphis,ECOv002_L2T_LSTE_30078_007_16SBD_20231026T081122_0711_01,2023-10-26T08:11:22+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30078_007_16SBD_20231026T081122_0712_02,2023-10-26T08:11:22+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_007_15SYU_20231027T153102_0712_02,2023-10-27T15:31:02+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_007_15SYU_20231027T153102_0711_01,2023-10-27T15:31:02+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_007_15SYU_20231027T153102_0712_03,2023-10-27T15:31:02+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_15SYU_20231027T153154_0711_01,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_16SBD_20231027T153154_0711_01,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_16SBD_20231027T153154_0712_02,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_16SBD_20231027T153154_0712_03,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_15SYU_20231027T153154_0712_02,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30098_008_15SYU_20231027T153154_0712_03,2023-10-27T15:31:54+00:00,all,no_valid_lst_in_window,,,,,
colossus_memphis,ECOv002_L2T_LSTE_30124_007_16SBD_20231029T072342_0711_01,2023-10-29T07:23:42+00:00,all,no_valid_lst_in_window,,,,,
