plant,eis_facility_id,site_name,facility_type,naics_code,county,state,latitude,longitude,nox_short_tons,distance_km,role
martin_lake,16925511,Beckville,Rail Yard,488210,Panola,TX,32.231131,-94.50244,24.36,7.2,neighbour
martin_lake,13380611,OAKHILL COMPRESSOR STATION,Compressor Station,2111,Gregg,TX,32.379889,-94.594208,31.8,13.45,neighbour
martin_lake,9110611,BECKVILLE COMPRESSOR STATION,Compressor Station,486210,Panola,TX,32.223583,-94.431658,65.59,13.7,neighbour
martin_lake,4020611,AEP KNOX LEE POWER PLANT,Electricity Generation via Combustion,221112,Gregg,TX,32.376522,-94.64225,102.83,14.54,neighbour
martin_lake,13390011,CARTHAGE GAS PLANT,Gas Plant,211130,Panola,TX,32.167,-94.421897,101.24,17.44,neighbour
martin_lake,5765111,CENTRAL COMPRESSOR STATION,Compressor Station,2111,Panola,TX,32.161339,-94.3983,48.18,19.61,neighbour
martin_lake,9123111,HARRISON COUNTY POWER PROJECT,Electricity Generation via Combustion,221112,Harrison,TX,32.395058,-94.435467,164.82,19.62,neighbour
martin_lake,9123811,East Texas Rgnl,Airport,488119,Gregg,TX,32.3927,-94.7194,23.78,20.28,neighbour
martin_lake,4020811,LONGVIEW GAS PLANT,Gas Plant,211130,Gregg,TX,32.413481,-94.699992,97.7,20.9,neighbour
martin_lake,4845511,STATION 304,Compressor Station,486210,Harrison,TX,32.407733,-94.429817,1.5,21.04,neighbour
martin_lake,4180311,CARTHAGE ORIENTED STRANDBOARD MILL,Plywood & Engineered Wood Products,321219,Panola,TX,32.188333,-94.361389,158.2,21.26,neighbour
martin_lake,13404111,GAS BLOCKER COMPRESSOR STATION,Compressor Station,486210,Harrison,TX,32.409167,-94.425833,37.44,21.4,neighbour
martin_lake,5779011,GEORGE GRAY GAS PLANT,Gas Plant,211130,Panola,TX,32.243611,-94.342777,1.0,21.51,neighbour
martin_lake,7925311,MITCHELL COMPRESSOR STATION,Compressor Station,2111,Panola,TX,32.195,-94.343056,59.98,22.61,neighbour
martin_lake,4941511,TEXAS OPERATIONS,Chemical Plant,325110,Harrison,TX,32.438056,-94.69,1297.67,22.7,neighbour
martin_lake,13399711,WESTLAKE LONGVIEW,,325211,Harrison,TX,32.439278,-94.688436,738.4,22.74,neighbour
martin_lake,4863811,INVISTA LONGVIEW,,325211,Harrison,TX,32.440183,-94.686361,6.6,22.74,neighbour
martin_lake,16929611,Ferguson Creek Reservoir,Rail Yard,488210,Harrison,TX,32.440928,-94.68728,0.26,22.85,neighbour
martin_lake,19469211,Kodak,Rail Yard,488210,Gregg,TX,32.435556,-94.704353,26.26,23.16,neighbour
martin_lake,9123011,LONGVIEW POX ASU PLT,,325120,Harrison,TX,32.447778,-94.6875,20.27,23.53,neighbour
martin_lake,4845611,AEP PIRKEY POWER PLANT,Electricity Generation via Combustion,221112,Harrison,TX,32.460267,-94.485225,2188.0,23.61,neighbour
martin_lake,7908711,EASTMAN COGENERATION FACILITY,Electricity Generation via Combustion,221121,Harrison,TX,32.448056,-94.690278,315.82,23.68,neighbour
martin_lake,4207211,HENDERSON PLANT 1,"Brick, Structural Clay, or Clay Ceramics Plant",327120,Rusk,TX,32.182572,-94.805811,28.67,23.77,neighbour
martin_lake,6498511,HENDERSON LUMBER MILL,Lumber/Sawmill,321113,Rusk,TX,32.172778,-94.803056,39.4,23.95,neighbour
martin_lake,4021511,LONGVIEW #2 COMPRESSOR STATION,Compressor Station,486210,Gregg,TX,32.45459,-94.71108,7.71,25.29,neighbour
martin_lake,9124211,LONGVIEW COMPRESSOR STATION,Compressor Station,486210,Gregg,TX,32.456325,-94.711211,0.33,25.46,neighbour
martin_lake,10677911,CARTHAGE COMPRESSOR STATION 2,Compressor Station,486210,Panola,TX,32.139722,-94.337222,0.73,25.75,neighbour
martin_lake,6642111,LONGVIEW 1 COMP STATION,Compressor Station,486210,Gregg,TX,32.456375,-94.725967,0.09,26.21,neighbour
martin_lake,6641511,JOY GLOBAL LONGVIEW OPERATIONS,Steel Mill,336510,Gregg,TX,32.459707,-94.737374,4.51,27.12,neighbour
martin_lake,9110911,Panola County-Sharpe Fi,Airport,488119,Panola,TX,32.17608,-94.29881,0.06,27.24,neighbour
martin_lake,17906911,NUCOR STEEL LONGVIEW,,331221,Gregg,TX,32.459747,-94.739842,113.48,27.26,neighbour
martin_lake,6498311,ELECTRIC POWER GENERATION,Electricity Generation via Combustion,221112,Rusk,TX,32.0176,-94.6194,540.58,27.41,neighbour
martin_lake,4845811,TRINITY INDUSTRIES PLANT 19,,336510,Harrison,TX,32.503808,-94.637414,3.8,27.76,neighbour
martin_lake,16637511,RIO COMPRESSOR STATION,Compressor Station,211130,Rusk,TX,32.030278,-94.685,8.24,27.78,neighbour
martin_lake,16923411,Longview Heights,Rail Yard,488210,Harrison,TX,32.503887,-94.639639,52.51,27.82,neighbour
martin_lake,9125911,DANVILLE COMPRESSOR STAT,Compressor Station,486210,Gregg,TX,32.425803,-94.802494,0.9,28.5,neighbour
martin_lake,16628711,ATKINSON COMPRESSOR STATION,Compressor Station,2111,Rusk,TX,32.015356,-94.681028,19.23,29.18,neighbour
martin_lake,18896711,PANOLA II GAS PLANT,Gas Plant,211130,Panola,TX,32.191917,-94.267631,13.49,29.5,neighbour
martin_lake,9145911,Rusk County,Airport,488119,Rusk,TX,32.14172,-94.85172,2.75,29.57,neighbour
martin_lake,17867911,LONGVIEW_2,Rail Yard,488210,Gregg,TX,32.494549,-94.726926,52.51,29.87,neighbour
martin_lake,19756311,Bodie,Rail Yard,488210,Gregg,TX,32.470552,-94.76923,26.26,29.88,neighbour
midland_gas,6473711,Midland Cogeneration Venture (B6527),Electricity Generation via Combustion,221112,Midland,MI,43.5861,-84.2242,3880.9,0.0,own
