site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
lulea,LC08_L1TP_193014_20170906_20170917_01_T1,2017-09-06T09:59:05.046332+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,4484.0,8861.0
lulea,LC08_L1TP_194014_20171015_20171024_01_T1,2017-10-15T10:05:26.779017900+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20180206_20180221_01_T1,2018-02-06T09:52:38.940129+00:00,hall,polygon_too_cloudy,hall_north,1.0,61.0,3421.0,8861.0
lulea,LC08_L1TP_192014_20180206_20180221_01_T1,2018-02-06T09:52:38.940129+00:00,hall,polygon_too_cloudy,hall_south,31.0,87.0,3421.0,8861.0
lulea,LC08_L1TP_194014_20180220_20180308_01_T1,2018-02-20T10:04:55.720896+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20180301_20180308_01_T1,2018-03-01T09:58:40.614540+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20180317_20180402_01_T1,2018-03-17T09:58:31.531473+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20180319_20180403_01_T1,2018-03-19T09:46:09.217816+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20180402_20180416_01_T1,2018-04-02T09:58:24.812261+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20180404_20180417_01_T1,2018-04-04T09:46:02.142941+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20180506_20180517_01_T1,2018-05-06T09:45:43.844180900+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20180513_20180517_01_T1,2018-05-13T09:51:49.985409+00:00,all,background_too_cloudy,,,,22.0,8861.0
lulea,LC08_L1TP_191014_20180522_20180605_01_T1,2018-05-22T09:45:32.326023900+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20180605_20180615_01_T1,2018-06-05T09:57:44.765982+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20180614_20180703_01_T1,2018-06-14T09:51:40.400306900+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20180621_20180703_01_T1,2018-06-21T09:57:55.904439900+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,3910.0,8861.0
lulea,LC08_L1TP_193014_20180621_20180703_01_T1,2018-06-21T09:57:55.904439900+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,3910.0,8861.0
lulea,LC08_L1TP_192014_20180630_20180716_01_T1,2018-06-30T09:51:50.434306+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,2393.0,8861.0
lulea,LC08_L1TP_192014_20180630_20180716_01_T1,2018-06-30T09:51:50.434306+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,2393.0,8861.0
lulea,LC08_L1TP_193014_20180707_20180717_01_T1,2018-07-07T09:58:04.863323900+00:00,all,background_too_cloudy,,,,721.0,8861.0
lulea,LC08_L1TP_191014_20180709_20180717_01_T1,2018-07-09T09:45:44.181165900+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20180725_20180731_01_T1,2018-07-25T09:45:50.598724+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20180801_20180814_01_T1,2018-08-01T09:52:05.557490900+00:00,all,background_too_cloudy,,,,509.0,8861.0
lulea,LC08_L1TP_191014_20180810_20180815_01_T1,2018-08-10T09:46:00.050153+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20180826_20180830_01_T1,2018-08-26T09:46:07.837329+00:00,all,outside_footprint,,,,,
