facility_id,name,lat,lon,egrid_nox_short_tons,nearest_large_power_plant,distance_km,power_isolated,campd_status,sample_unit_type,stack_class,industrial_isolation
55051,Westlake Plaquemine,30.2586,-91.185,1234.474,LaO Energy Systems,8.08,False,not_probed,,unverified,not_verified
8048,Anclote,28.184444,-82.788611,1210.499,Pinellas County Resource Recovery,36.38,True,rows_present,Tangentially-fired,unverified,not_verified
3140,"Brunner Island, LLC",40.096111,-76.6962,1175.01,Covanta Delaware Valley,115.44,True,rows_present,Tangentially-fired,unverified,not_verified
6559,George M Sullivan Generation Plant 2,61.229713,-149.716744,1171.687,Southcentral Power Project,12.25,False,not_probed,,unverified,not_verified
59647,Stillwater Energy Center,36.161944,-97.036944,1133.199,Horseshoe Lake,73.77,True,no_rows,,unverified,not_verified
957,Princeton (IL),41.375528,-89.464872,1130.728,Louisa,136.07,True,no_rows,,unverified,not_verified
10,Greene County,32.6017,-87.7811,1128.364,James H Miller Jr,132.8,True,rows_present,Cell burner boiler,unverified,not_verified
59726,CML&P Generating Facility No. 2,37.092977,-95.585154,1127.565,Northeastern,74.25,True,no_rows,,unverified,not_verified
3797,Chesterfield Power Station,37.3822,-77.3833,1115.992,Roxboro,180.41,True,rows_present,Tangentially-fired,unverified,not_verified
56152,Freeport Energy Center,28.988761,-95.395417,1114.682,Freeport Energy,1.21,False,not_probed,,unverified,not_verified
3460,Cedar Bayou,29.75,-94.9256,1107.754,ExxonMobil Baytown Refinery,6.93,False,not_probed,,unverified,not_verified
65295,Bob Glanzer Generating Station,44.369507,-98.17223,1103.064,George Neal North,269.58,True,no_rows,,unverified,not_verified
57884,Lake Charles Polymers,30.196571,-93.32197,1058.566,PPG Powerhouse C,4.17,False,not_probed,,unverified,not_verified
59938,Sky Global Power One,29.550278,-96.537778,1057.2,Sam Seymour,45.68,True,no_rows,,unverified,not_verified
2951,Horseshoe Lake,35.50866,-97.17969,1047.631,Seminole (2956),73.04,True,rows_present,Combustion turbine,unverified,not_verified
612,Fort Myers,26.6967,-81.7831,1014.067,Big Bend,136.6,True,rows_present,Combined cycle,unverified,not_verified
10436,ExxonMobil Baytown Refinery,29.753517,-94.997277,1008.551,ExxonMobil Baytown Turbine,1.35,False,not_probed,,unverified,not_verified
