name,d,snow,n
hall:block_b,2020-11-19,0.0,457
hall:block_c,2020-11-19,0.0028800216848691605,380
hall:block_d,2020-11-19,0.0,1035
hall:block_a,2020-11-19,,0
hall:block_b,2020-11-19,,0
hall:block_c,2020-11-19,,0
hall:block_d,2020-11-19,,0
hall:block_a,2020-11-21,,0
hall:block_b,2020-11-21,1.0,94
hall:block_c,2020-11-21,1.0,1316
hall:block_d,2020-11-21,1.0,1581
hall:block_a,2020-11-24,0.9544786340721833,570
hall:block_b,2020-11-24,0.9594192269746893,1412
hall:block_c,2020-11-24,0.9612972305770435,1109
hall:block_d,2020-11-24,0.9800811710022463,1517
hall:block_a,2020-11-24,,0
hall:block_b,2020-11-24,,0
hall:block_c,2020-11-24,,0
hall:block_d,2020-11-24,,0
hall:block_a,2020-11-26,0.26049104735636247,1271
hall:block_b,2020-11-26,0.6812932844268846,1581
hall:block_c,2020-11-26,0.737884282050411,1581
hall:block_d,2020-11-26,1.0,1581
hall:block_a,2020-11-26,,0
hall:block_b,2020-11-26,,0
hall:block_c,2020-11-26,,0
hall:block_d,2020-11-26,,0
hall:block_a,2020-11-29,0.029257697713044588,62
hall:block_b,2020-11-29,0.9148469287538235,737
hall:block_c,2020-11-29,0.729736261473946,898
hall:block_d,2020-11-29,0.892703588448412,1097
hall:block_a,2020-11-29,,0
hall:block_b,2020-11-29,,0
hall:block_c,2020-11-29,,0
hall:block_d,2020-11-29,,0
hall:block_a,2020-12-01,,0
hall:block_b,2020-12-01,,0
hall:block_c,2020-12-01,,0
hall:block_d,2020-12-01,,0
hall:block_a,2020-12-04,0.0008333360566537774,1271
hall:block_b,2020-12-04,0.37964543698153347,1581
hall:block_c,2020-12-04,0.4295736757709468,1557
hall:block_d,2020-12-04,0.4133684009631381,1581
hall:block_a,2020-12-04,,0
hall:block_b,2020-12-04,,0
hall:block_c,2020-12-04,,0
hall:block_d,2020-12-04,,0
hall:block_a,2020-12-06,,0
hall:block_b,2020-12-06,1.0,1201
hall:block_c,2020-12-06,1.0,44
hall:block_d,2020-12-06,0.993922118306674,1579
hall:block_a,2020-12-06,,0
hall:block_b,2020-12-06,,0
hall:block_c,2020-12-06,,0
hall:block_d,2020-12-06,,0
hall:block_a,2020-12-09,0.0,22
hall:block_b,2020-12-09,0.8231568093098622,511
hall:block_c,2020-12-09,0.5413058791655376,744
hall:block_d,2020-12-09,0.769843401649252,310
hall:block_a,2020-12-09,,0
hall:block_b,2020-12-09,,0
hall:block_c,2020-12-09,,0
hall:block_d,2020-12-09,,0
hall:block_a,2020-12-11,0.0,1271
hall:block_b,2020-12-11,0.2965576380591836,1581
hall:block_c,2020-12-11,0.3849003526806591,1581
hall:block_d,2020-12-11,0.2245809792966772,1581
hall:block_a,2020-12-11,,0
hall:block_b,2020-12-11,,0
hall:block_c,2020-12-11,,0
hall:block_d,2020-12-11,,0
hall:block_a,2020-12-14,,0
hall:block_b,2020-12-14,,0
hall:block_c,2020-12-14,,0
hall:block_d,2020-12-14,,0
hall:block_a,2020-12-16,,0
hall:block_b,2020-12-16,,0
hall:block_c,2020-12-16,,0
hall:block_d,2020-12-16,,0
hall:block_a,2020-12-19,0.0,1271
hall:block_b,2020-12-19,0.0,1581
