d,hall:technical_strip,ring:builtup
2021-03-08,0.0,0.0
2021-03-16,,0.0
2021-03-21,0.9811657189436187,0.06324682006657979
2021-03-23,0.0,0.00013015633903055128
2021-03-28,,0.0
2021-03-31,0.0,3.852725561595182e-05
2021-11-03,0.0,0.0
2021-11-08,,0.0
2021-11-13,0.0,0.0001313116939671974
2021-11-16,,0.0
2021-11-21,0.025374941706215008,0.0006929032965138504
2021-11-23,0.0,7.694186559281965e-05
2021-11-26,0.0,0.0
2021-11-28,0.0019986440571690585,0.00023082559677845897
2021-12-01,0.003997288114338117,0.0002692965295748688
2021-12-03,0.0009993220285845292,0.0
2021-12-08,0.012176053109067187,0.00023082559677845897
2021-12-13,1.0,1.0
2021-12-18,1.0,0.9989988313659036
2021-12-21,1.0,0.984374873189141
2022-01-02,1.0,1.0
2022-01-07,0.9948309578207725,0.028224842182903605
2022-01-10,0.9215708558507368,0.024517016306509046
2022-01-12,0.008605926175575006,0.006155822887922828
2022-01-15,0.7180657828218504,0.007342703193417199
2022-01-20,,0.001390674572606165
2022-01-22,0.7418300525525819,0.021756745727199423
2022-01-25,0.014675983735151927,0.0004856171622818294
2022-01-27,0.013990508400183411,0.000502228135501908
2022-01-30,0.004996610142922646,0.0005789515905654347
2022-02-01,0.0,0.0
2022-02-04,1.0,0.6345521077336428
2022-02-06,0.035176135406175445,0.0021554502249487005
2022-02-11,0.0,0.00019235466398204913
2022-02-14,,0.0
2022-02-19,0.0,0.0003462783601222518
2022-02-24,1.0,0.9788353214049039
2022-02-26,0.3358427419828902,0.02703523730937316
2022-03-01,0.013575103949085527,0.00019235466398204913
2022-03-11,1.0,0.6605851932996882
2022-03-18,0.0,0.0
2022-03-21,0.0,3.8470932796409825e-05
2022-03-23,0.0,3.8470932796409825e-05
2022-03-26,0.0,0.0
2022-11-03,0.9825882832431331,0.24306080035835384
2022-11-11,0.0,0.00030824179634857346
2022-11-13,0.0,0.0
2022-11-16,0.0,0.00011552835496230519
2022-11-18,0.0,0.0004612814797475721
2022-11-21,0.004373503466275823,0.0003467453005435664
2022-11-23,,0.0
2022-12-08,1.0,1.0
2022-12-13,,1.0
2022-12-16,1.0,1.0
2022-12-18,1.0,1.0
2022-12-26,1.0,1.0
2023-01-07,1.0,0.7339941447776032
2023-01-12,1.0,0.823728813559322
2023-01-20,1.0,1.0
2023-01-30,1.0,0.9633222031562582
2023-02-01,1.0,0.6671123066104613
2023-02-04,1.0,0.4571077755653486
2023-02-09,1.0,0.25258475702926647
2023-02-11,1.0,1.0
2023-02-16,0.9844223330838293,0.06347941993900537
2023-02-19,1.0,0.1299722378866091
2023-03-08,1.0,0.9059109803246973
2023-03-11,1.0,0.4284402179053977
2023-03-16,0.00302061831020714,0.009044290422214666
2023-03-18,,0.03443788289892082
2023-03-26,1.0,0.9900750248576335
2023-03-28,1.0,0.09645598223759308
2023-03-31,1.0,0.3239448175672943
2023-11-01,0.0,0.0001382952837511899
2023-11-03,,0.0
2023-11-08,,0.0
2023-11-11,0.0,3.848425752397415e-05
2023-11-21,0.0,7.846629472617258e-05
2023-11-28,0.9603719829292284,0.07563064404118568
2023-12-06,0.0029979660857535877,0.0005017723970230726
2023-12-08,0.5414182598286141,0.0198003500051983
2023-12-11,0.0,0.0003847707437829721
2023-12-13,0.0009993220285845292,5.958560664106118e-05
2023-12-16,1.0,0.006231747699751953
2023-12-18,,8.042096432620636e-05
2023-12-21,0.0019986440571690585,0.00011575102061381924
2023-12-26,0.8555019535765933,0.03441911802182174
2023-12-28,0.0009993220285845292,0.0
2024-01-02,0.18938132169155833,0.021305956914667377
2024-01-07,1.0,1.0
2024-01-15,1.0,1.0
2024-01-27,0.0,0.03914444909203672
2024-01-30,0.18683011133623076,0.020928187441246946
2024-02-04,1.0,1.0
2024-02-11,0.9779718073620642,0.16910149713969788
2024-02-14,0.9567744236263243,0.014481990345339776
2024-02-24,0.0,0.0005252310707751956
2024-02-26,,0.0
2024-03-17,0.0,7.694186559281965e-05
2024-03-20,0.0,3.8470932796409825e-05
2024-03-22,0.0,0.0
2024-03-27,0.0,3.8470932796409825e-05
2024-11-07,0.0,7.70426382662324e-05
2024-11-10,0.0,7.694186559281965e-05
2024-11-17,0.00106511396719449,0.0
2024-11-20,0.0,7.741480690242557e-05
2024-11-25,1.0,0.0031085430076067877
2024-11-27,1.0,0.46898078566332096
2024-11-30,0.9802839642125147,0.039989158946144326
2024-12-07,0.13747535985390308,0.0021159013038025407
2024-12-10,0.027299126474979736,0.0013587782597288827
2024-12-15,0.006398434265497384,0.0
2024-12-17,0.0,0.0
2024-12-20,0.0,0.0001542552987703332
2024-12-30,,0.00011017310354824359
2025-01-09,0.02088778985237467,0.00016466733082490083
2025-01-14,1.0,0.07457197154865451
2025-01-16,0.1735450067209306,0.018921060814096214
2025-01-21,0.0,0.0008143045094374166
2025-01-26,1.0,1.0
2025-02-05,0.0,0.0
2025-02-08,0.0,0.0
2025-02-10,0.0,0.00015416247757842776
2025-02-15,1.0,0.8487009670191896
2025-02-18,,0.039996312536153746
2025-02-25,0.0,0.0001538837311856393
2025-02-28,0.0,7.710203971178343e-05
2025-03-02,0.0,0.0
2025-03-07,1.0,0.3137458421578164
2025-03-10,0.0,0.0
2025-03-12,0.0,0.0
2025-03-17,0.0,0.0
2025-03-25,0.0,3.8470932796409825e-05
2025-03-27,0.0,0.0
2025-03-30,0.0,0.0
2025-11-02,0.0,0.0
2025-11-10,,0.0
2025-11-12,,0.0
2025-11-15,,0.0
2025-11-22,0.0,0.0006353832801692979
2025-11-25,0.0,3.8470932796409825e-05
2025-11-27,0.0,2.53979510327504e-05
2025-12-04,0.9025445482084704,0.002413799247629631
2025-12-12,0.0019986440571690585,0.00042378348456083455
2025-12-15,0.0009993220285845292,0.00026961807579998755
2025-12-17,0.0,0.0
2025-12-30,0.006372147523444881,0.0013080117150779341
2026-01-06,0.01432361574304492,0.00048088665995512286
2026-01-09,1.0,0.5793808140255787
2026-01-11,,1.0
2026-01-14,0.00917416811339758,0.0005385930591497376
2026-01-16,0.010847542647537164,0.0011928742626022516
2026-01-21,0.0,0.00024516401953620737
2026-01-24,0.0,0.00031467102763690826
2026-01-26,0.0019986440571690585,0.0
2026-01-29,0.004996610142922646,0.00019273280914040242
2026-01-31,0.0,0.0
2026-02-03,0.0,0.0
2026-02-05,0.0,0.0
2026-02-08,0.0,3.987689143524123e-05
2026-02-23,0.0,0.00025623930138112986
2026-03-02,,0.0
2026-03-07,0.0019986440571690585,5.7706399194614735e-05
2026-03-12,,0.0
2026-03-15,0.0,0.0
2026-03-17,0.0,1.9235466398204913e-05
2026-03-20,0.0,0.0
2026-03-22,0.0,0.0
2026-03-24,0.0,0.0
2026-03-25,0.0,0.0
