epoch_name,site_id,status,address_status,coords_quality,geocode_offset_m,hall_polygons,roof_status,notes
Microsoft SAT14,epoch_microsoft_sat14,imported,found,epoch_published,,2,dated,
Vantage TX1,epoch_vantage_tx1,imported,found,geocoded_address,117,2,dated,
CoreWeave Dalton 1 & 2,epoch_coreweave_dalton_1_2,imported,found,geocoded_address,105,1,dated,
Alibaba Zhangbei,epoch_alibaba_zhangbei,imported,not_found,epoch_published,,6,dated,
Start Campus Sines Data Campus,epoch_start_campus_sines_data_campus,imported,not_found,epoch_published,,1,dated,
xAI QTS Atlanta,epoch_xai_qts_atlanta,imported,found,geocoded_address,118,1,dated,
Anthropic Barber Lake,epoch_anthropic_barber_lake,imported,missing_address,epoch_published,,1,dated,
CoreWeave Muskogee OK,epoch_coreweave_muskogee_ok,imported,found,epoch_published,,1,dated,
Crusoe Abilene Expansion,epoch_crusoe_abilene_expansion,imported,found,epoch_published,,2,dated,
Goodnight,epoch_goodnight,imported,not_found,epoch_published,,6,dated,
Google Cedar Rapids,epoch_google_cedar_rapids,imported,found,geocoded_address,736,3,dated,
Google Fort Wayne,epoch_google_fort_wayne,imported,found,geocoded_address,412,3,dated,
Meta Hyperion,hyperion_la,existing_curated,found,,,0,pending,Existing validated labels and geometry retained; normalized Epoch timeline saved separately for comparison.
Microsoft Narvik Norway,epoch_microsoft_narvik_norway,imported,missing_address,epoch_published,,3,unresolved,
OpenAI Stargate Lordstown,epoch_openai_stargate_lordstown,imported,not_found,epoch_published,,1,unresolved,
OpenAI Stargate Michigan,epoch_openai_stargate_michigan,imported,missing_address,epoch_published,,2,dated,
OpenAI Stargate Milam,epoch_openai_stargate_milam,imported,missing_address,epoch_published,,1,dated,
OpenAI Stargate New Mexico,epoch_openai_stargate_new_mexico,location_only,missing_address,epoch_published,,0,no_polygons,Epoch provides no Building annotation; no boundary invented.
OpenAI Stargate Shackelford,epoch_openai_stargate_shackelford,imported,not_found,epoch_published,,10,dated,
OpenAI Stargate UAE,epoch_openai_stargate_uae,imported,not_found,epoch_published,,2,left_censored,
OpenAI Stargate Wisconsin,epoch_openai_stargate_wisconsin,imported,missing_address,epoch_published,,3,dated,
QTS Cedar Rapids,epoch_qts_cedar_rapids,imported,found,geocoded_address,806,7,dated,
QTS Eagle Mountain,epoch_qts_eagle_mountain,imported,found,epoch_published,,2,unresolved,
