PSTATABB,PNAME,ORISPL,LAT,LON,PLPRMFL,PLFUELCT,CAPFAC,NAMEPCAP,PLNGENAN,PLNOXAN,PLNOXRTA,nox_tpy,gen_gwh
AL,E B Harris Generating Plant,7897,32.381352,-86.574366,NG,GAS,0.56557,1304.0,6460477.0,219.875,0.068,219.875,6460.477
AL,E C Gaston,26,33.244211,-86.458056,BIT,COAL,0.19081,2034.0,3399765.0,2318.77,1.364,2318.77,3399.765
AL,Georgia-Pacific Brewton Mill,54789,31.077,-87.1116,BLQ,BIOMASS,0.54157,103.4,490545.251,235.816,0.961,235.816,490.545251
AL,Georgia-Pacific Consr Prods LP-Naheola,10699,32.2268,-88.0252,BLQ,BIOMASS,0.37016,87.5,283727.0,78.337,0.552,78.337,283.727
AL,Greene County,10,32.6017,-87.7811,NG,GAS,0.12371,1288.4,1396260.002,1128.364,1.616,1128.364,1396.260002
AL,Hillabee Energy Center,55411,33.000669,-85.903278,NG,GAS,0.5659,822.8,4078887.0,105.818,0.052,105.818,4078.887
AL,Hog Bayou Energy Center,55241,30.7478,-88.0575,NG,GAS,0.61587,280.0,1510597.0,54.552,0.072,54.552,1510.597
AL,International Paper Pine Hill Mill,54752,31.9698,-87.4806,BLQ,BIOMASS,0.66195,77.4,448819.0,159.931,0.713,159.931,448.819
AL,International Paper Prattville Mill,52140,32.4187,-86.4718,BLQ,BIOMASS,0.77637,89.8,610729.26,281.857,0.923,281.857,610.72926
AL,International Paper Riverdale Mill,54096,32.426016,-86.870912,NG,GAS,0.50688,104.2,462678.301,127.686,0.552,127.686,462.678301
AL,James H Miller Jr,6002,33.6319,-87.0597,SUB,COAL,0.641,2822.0,15846086.0,5678.411,0.717,5678.411,15846.086
AL,Kimberly Clark Mobile - CHP Plant,62449,30.737741,-88.04977,NG,GAS,0.83451,50.0,365514.52,583.072,3.19,583.072,365.51452
AL,McIntosh (7063),7063,31.2546,-88.0299,NG,GAS,0.12592,676.0,745690.998,209.152,0.561,209.152,745.690998
AL,McWilliams,533,31.400255,-86.476449,NG,GAS,0.58351,654.0,3342941.0,206.528,0.124,206.528,3342.941
AL,Mead Coated Board,54802,32.1761,-85.0272,BLQ,BIOMASS,0.6685,120.5,705660.0,366.037,1.037,366.037,705.66
