url,status,final_url,archive_url,archive_ts,note,n_files,used_in,checked_at
https://econews.pt/2025/03/24/start-campus-to-start-construction-of-second-data-centre-building-in-sines-by-end-june/,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://en.wikipedia.org/wiki/Colossus_(data_center),200,,,,,2,data/capacity_timeline.csv;data/sites.csv,2026-09-15T12:59Z
https://en.wikipedia.org/wiki/Utah_Data_Center,200,,,,,2,data/capacity_timeline.csv;data/sites.csv,2026-09-15T12:59Z
https://epoch.ai/data-insights/fairwater-power-usage,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://epoch.ai/data/ai-data-centers,200,,,,,2,data/capacity_timeline.csv;data/sites.csv,2026-09-15T12:59Z
https://epoch.ai/data/ai-data-centers/map,200,,,,,2,data/epoch/map_annotations.json;data/epoch/validation.json,2026-09-15T12:59Z
https://fairfieldenergycenter.com/home/data-center-power-supply,200,,,,,1,data/onsite_generation.csv,2026-09-15T12:59Z
https://fermiamerica.com/,200,,,,,2,data/generator_watchlist.csv;data/onsite_generation.csv,2026-09-15T12:59Z
https://finance.sina.com.cn/jjxw/2024-04-29/doc-inatncei1543887.shtml,200,,,,TLS certificate not trusted by this client (common for Chinese government hosts); content not verified,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://finance.sina.com.cn/jjxw/2024-10-12/doc-incshhpi0582292.shtml,200,,,,TLS certificate not trusted by this client (common for Chinese government hosts); content not verified,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://firmus.co/newsroom/southgate-expansion,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://fzggw.cq.gov.cn/zwgk/zfxxgkml/sphzbaxx/202010/t20201019_8033213.html,error,,,,SSLError,1,data/china_project_documents.json,2026-09-15T12:59Z
https://fzggw.cq.gov.cn/zwgk/zfxxgkml/sphzbaxx/202406/t20240606_13270491_wap.html,error,,,,SSLError,2,data/china_project_documents.json;data/sites.csv,2026-09-15T12:59Z
https://fzggw.nx.gov.cn/zzb/xzsp/202411/t20241114_4726940.html,200,,,,,1,data/china_project_documents.json,2026-09-15T12:59Z
https://gansu.gansudaily.com.cn/system/2025/02/19/031139717.shtml,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://gdee.gd.gov.cn/wryml/content/post_3841259.html,200,,,,,1,data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://github.com/recozers/openobservatory/blob/main/results_no2/colossus1_subtraction.json,200,,,,,1,data/onsite_generation.csv,2026-09-15T12:59Z
https://gxt.hebei.gov.cn/sme/zx/gzdt9/2025042122120672072/index.html,error,,,,SSLError,2,data/china_project_documents.json;data/sites.csv,2026-09-15T12:59Z
https://gxt.hebei.gov.cn/sme/zx/snxw34/2025061817183987933/index.html,error,,,,SSLError,1,data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://gzw.wuhu.gov.cn/xwzx/gzyw/8927779.html,200,,,,,2,data/cn_plant_links.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://he.spb.gov.cn/hbsyzglj/c100756/c100761/202301/a4d2168913aa4dbabe461202d0ededd4.shtml,200,,,,,2,data/cn_plant_links.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://info.ornl.gov/sites/publications/Files/Pub207081.pdf,200,,,,,2,data/capacity_timeline.csv;data/operator_disclosures.csv,2026-09-15T12:59Z
https://info.ornl.gov/sites/publications/Files/Pub225618.pdf,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://insidelines.pjm.com/2025-year-in-review-planning-prepares-for-burgeoning-electricity-demand/,error,,http://web.archive.org/web/20260512185530/https://insidelines.pjm.com/2025-year-in-review-planning-prepares-for-burgeoning-electricity-demand/,20260512185530,ConnectionError,2,data/regional_dc_load.csv;data/regional_dc_load_sources.json,2026-09-15T12:59Z
https://investor.galaxy.com/news/news-details/2025/Galaxy-Announces-Commitment-with-CoreWeave-to-Host-Additional-Artificial-Intelligence-and-High-Performance-Computing-Infrastructure-at-Helios-Data-Center-Campus/default.aspx,404,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investor.galaxy.com/news/news-details/2025/Galaxy-Announces-Third-Quarter-2025-Financial-Results/default.aspx,404,,http://web.archive.org/web/20251125183642/https://investor.galaxy.com/news/news-details/2025/Galaxy-Announces-Third-Quarter-2025-Financial-Results/default.aspx,20251125183642,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.corescientific.com/news-events/press-releases/detail/74/core-scientific-to-provide-approximately-200-mw-of-infrastructure-to-host-coreweaves-high-performance-computing-services-capturing-significant-ai-compute-opportunity,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.corescientific.com/news-events/press-releases/detail/99/core-scientific-and-port-muskogee-break-ground-on-100-mw-hpc-data-center,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.corescientific.com/sec-filings/all-sec-filings/content/0001140361-25-039864/0001140361-25-039864.pdf,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.corescientific.com/sec-filings/all-sec-filings/content/0001628280-25-023161/q12025corescientificinc-ea.htm,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.coreweave.com/news/news-details/2025/CoreWeave-Announces-Partnership-with-Foundation-Model-Company-Poolside-to-Deliver-AI-Cloud-Services/default.aspx,200,,,,,2,data/generator_watchlist.csv;data/onsite_generation.csv,2026-09-15T12:59Z
https://investors.terawulf.com/news-events/press-releases/detail/126/terawulf-reports-third-quarter-2025-results,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.terawulf.com/news-events/press-releases/detail/132/terawulf-reports-fourth-quarter-and-full-year-2025-results,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center,200,https://investors.terawulf.com/news-events/press-releases/detail/99/terawulf-to-deliver-over-70-mw-of-data-center-infrastructure-for-g42s-us-operations,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://ir.applieddigital.com/news-events/press-releases/detail/128/applied-digital-finalizes-additional-150mw-lease-with,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://ir.applieddigital.com/news-events/press-releases/detail/133/applied-digital-achieves-ready-for-service-for-phase-1-at,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://ir.applieddigital.com/news-events/press-releases/detail/137/applied-digital-completes-phase-ii-ready-for-service-at,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://ir.applieddigital.com/news-events/press-releases/detail/75/applied-digital-announces-groundbreaking-of,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://khaznadatacenters.com/press-release/khazna-announces-the-uaes-first-ai-optimized-data-center-and-the-largest-in-its-portfolio-powering-the-nations-drive-toward-ai-leadership/,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://khaznadatacenters.com/press-release/khazna-expands-infrastructure-to-accelerate-uaes-leadership-in-artificial-intelligence/,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://laramiecounty.legistar.com/LegislationDetail.aspx?GUID=1623FD5B-974F-4551-9E2F-53A415151CCE&ID=7792288,200,,,,,1,data/onsite_generation.csv,2026-09-15T12:59Z
https://laramiecounty.legistar.com/View.ashx?GUID=0946D063-8DEE-42DD-B75C-867B3A63027D&ID=15061112&M=F,200,,,,,3,data/generator_watch_sources.json;data/generator_watchlist.csv;data/sites.csv,2026-09-15T12:59Z
https://ljxq.cq.gov.cn/zwgk_199/fdzdgknr/xzxk/bljg1/cfsthjfj/202205/W020220520639725589824.pdf,error,,http://web.archive.org/web/20240409055855/https://ljxq.cq.gov.cn/zwgk_199/fdzdgknr/xzxk/bljg1/cfsthjfj/202205/W020220520639725589824.pdf,20240409055855,ConnectionError,1,data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://lp.startcampus.pt/start-campus-hosts-eus-first-nvidia-gb300-chips-with-nscale-for-microsoft,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://m.c114.com.cn/w126-1183443.html,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://m.thepaper.cn/baijiahao_10261395,200,,,,,1,data/sites.csv,2026-09-15T12:59Z
https://mdgreenview.ab.ca/wp-content/uploads/2025/02/mountains-to-meadows_january-2025_reduced.pdf,200,,,,,1,data/onsite_generation.csv,2026-09-15T12:59Z
https://mdgreenview.ab.ca/wp-content/uploads/2026/05/WV-Project-Newsletter-Spring-2026.pdf,200,,,,,2,data/generator_watchlist.csv;data/onsite_generation.csv,2026-09-15T12:59Z
https://measuredai.substack.com/p/aws-new-carlisle-data-center-campus,200,,,,,1,data/operator_disclosures.csv,2026-09-15T12:59Z
https://measuredai.substack.com/p/meta-prometheus-google-ohio,200,,,,,2,data/capacity_timeline.csv;data/sites.csv,2026-09-15T12:59Z
https://mesa.legistar.com/View.ashx?G=6D482A9C-B912-4765-B79B-550C367FA729&GUID=92E85865-1264-4087-9E34-8EF3B34AC125&ID=14322941&M=F,200,,,,,1,data/water_monthly_searches.csv,2026-09-15T12:59Z
https://mi-psc.my.site.com/sfc/servlet.shepherd/version/download/068cs00001MH71XAAT,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://ndep-onbase.nv.gov/api/Document/AeFo%C3%89pjclbkomJ7CWpPryLOjA6FQT9HFrkSuMWbMXTpKCzSR%C3%81W1f8zzFhGhik1iZCcNSpuTRRqNXD1inrrpBxtA%3D/,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://new.tzxm.gov.cn/zckd/fzgh/202411/t20241122_1394663.shtml,200,,,,,2,data/cn_plant_links.csv;data/cn_stack_monitor_sources.json,2026-09-15T12:59Z
https://newalbanyohio.org/wp-content/uploads/2025/01/CD-2024-12.pdf,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://news.microsoft.com/source/2026/06/23/microsoft-completes-construction-on-first-datacenter-facility-in-mount-pleasant-wisconsin/,200,,,,,2,data/capacity_timeline.csv;data/sites.csv,2026-09-15T12:59Z
https://news.microsoft.com/source/features/ai/from-wisconsin-to-atlanta-microsoft-connects-datacenters-to-build-its-first-ai-superfactory/,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://news.qq.com/rain/a/20241216A06QUH00,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://news.qq.com/rain/a/20250102A03Z7A00,200,,,,,1,data/cn_operator_disclosures.csv,2026-09-15T12:59Z
https://newsletter.semianalysis.com/p/stop-saying-half-of-2026-us-datacenter,200,,,,,1,data/capacity_timeline.csv,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1+Community+Cir%2C+New+Albany%2C+OH+43054&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1+Meta+Lp%2C+Gallatin%2C+TN+37066&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=10001+Lima+Rd%2C+Claude%2C+TX+79019&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1025+Jefferson+Street+NW%2C+Atlanta%2C+GA+30318&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=10410+Bunge+Ave%2C+Council+Bluffs%2C+IA+51503&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=105+Whiley+Rd%2C+Lancaster%2C+OH+43130&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1101+Beech+Rd+SW%2C+New+Albany%2C+OH+43054&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=11110+State+St%2C+Omaha%2C+NE+68142&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1125+Electron+Ave%2C+Berwick%2C+PA+18603&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=1275+N+Community+Cir%2C+Eagle+Mountain%2C+UT+84005&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=13001+Rollins+Ford+Road%2C+Bristow%2C+VA+20136&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
https://nominatim.openstreetmap.org/search?q=13360+Miller+Rd+NW&format=jsonv2&limit=3&addressdetails=1,,,,,skipped: Nominatim usage policy,1,data/epoch/geocoding.json,2026-09-15T12:59Z
